time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,-303.5961652,678.0305733,1.210091916,0,0,0
0.02,0.055705556,-303.5961652,678.0305733,1.210091916,0,0,0
0.03,0.111711111,-303.5961652,678.0305733,1.210091916,0,0,0
0.04,0.168016667,-303.5961652,678.0305733,1.210091916,0,0,0
0.05,0.224622222,-303.5961652,678.0305733,1.210091916,0,0,0
0.06,0.281527778,-303.5961652,678.0305733,1.210091916,0,0,0
0.07,0.338733333,-303.5961652,678.0305733,1.210091916,0,0,0
0.08,0.396238889,-303.5961652,678.0305733,1.210091916,0,0,0
0.09,0.454044444,-303.5961652,678.0305733,1.210091916,0,0,0
0.1,0.51215,-303.5961652,678.0305733,1.210091916,0,0,0
0.11,0.570555556,-303.5961652,678.0305733,1.210091916,0,0,0
0.12,0.629261111,-303.5961652,678.0305733,1.210091916,0,0,0
0.13,0.688266667,-303.5961652,678.0305733,1.210091916,0,0,0
0.14,0.747572222,-303.5961652,678.0305733,1.210091916,0,0,0
0.15,0.807177778,-303.5961652,678.0305733,1.210091916,0,0,0
0.16,0.867083333,-303.5961652,678.0305733,1.210091916,0,0,0
0.17,0.927288889,-303.5961652,678.0305733,1.210091916,0,0,0
0.18,0.987794444,-303.5961652,678.0305733,1.210091916,0,0,0
0.19,1.0486,-303.5961652,678.0305733,1.210091916,0,0,0
0.2,1.109705556,-303.5961652,678.0305733,1.210091916,0,0,0
0.21,1.171111111,-303.5961652,678.0305733,1.210091916,0,0,0
0.22,1.232816667,-303.5961652,678.0305733,1.210091916,0,0,0
0.23,1.294822222,-303.5961652,678.0305733,1.210091916,0,0,0
0.24,1.357127778,-303.5961652,678.0305733,1.210091916,0,0,0
0.25,1.419733333,-303.5961652,678.0305733,1.210091916,0,0,0
0.26,1.482638889,-303.5961652,678.0305733,1.210091916,0,0,0
0.27,1.545844444,-303.5961652,678.0305733,1.210091916,0,0,0
0.28,1.60935,-303.5961652,678.0305733,1.210091916,0,0,0
0.29,1.673155556,-303.5961652,678.0305733,1.210091916,0,0,0
0.3,1.737261111,-303.5961652,678.0305733,1.210091916,0,0,0
0.31,1.801666667,-303.5961652,678.0305733,1.210091916,0,0,0
0.32,1.866372222,-303.5961652,678.0305733,1.210091916,0,0,0
0.33,1.931377778,-303.5961652,678.0305733,1.210091916,0,0,0
0.34,1.996683333,-303.5961652,678.0305733,1.210091916,0,0,0
0.35,2.062288889,-303.5961652,678.0305733,1.210091916,0,0,0
0.36,2.128194444,-303.5961652,678.0305733,1.210091916,0,0,0
0.37,2.1944,-303.5961652,678.0305733,1.210091916,0,0,0
0.38,2.260905556,-303.5961652,678.0305733,1.210091916,0,0,0
0.39,2.327711111,-303.5961652,678.0305733,1.210091916,0,0,0
0.4,2.394816667,-303.5961652,678.0305733,1.210091916,0,0,0
0.41,2.462222222,-303.5961652,678.0305733,1.210091916,0,0,0
0.42,2.529927778,-303.5961652,678.0305733,1.210091916,0,0,0
0.43,2.597933333,-303.5961652,678.0305733,1.210091916,0,0,0
0.44,2.666238889,-303.5961652,678.0305733,1.210091916,0,0,0
0.45,2.734844444,-303.5961652,678.0305733,1.210091916,0,0,0
0.46,2.80375,-303.5961652,678.0305733,1.210091916,0,0,0
0.47,2.872955556,-303.5961652,678.0305733,1.210091916,0,0,0
0.48,2.942461111,-303.5961652,678.0305733,1.210091916,0,0,0
0.49,3.012266667,-303.5961652,678.0305733,1.210091916,0,0,0
0.5,3.082372222,-303.5961652,678.0305733,1.210091916,0,0,0
0.51,3.152777778,-303.5961652,678.0305733,1.210091916,0,0,0
0.52,3.223483333,-303.5961652,678.0305733,1.210091916,0,0,0
0.53,3.294488889,-303.5961652,678.0305733,1.210091916,0,0,0
0.54,3.365794444,-303.5961652,678.0305733,1.210091916,0,0,0
0.55,3.4374,-303.5961652,678.0305733,1.210091916,0,0,0
0.56,3.509305556,-303.5961652,678.0305733,1.210091916,0,0,0
0.57,3.581511111,-303.5961652,678.0305733,1.210091916,0,0,0
0.58,3.654016667,-303.5961652,678.0305733,1.210091916,0,0,0
0.59,3.726822222,-303.5961652,678.0305733,1.210091916,0,0,0
0.6,3.799927778,-303.5961652,678.0305733,1.210091916,0,0,0
0.61,3.873333333,-303.5961652,678.0305733,1.210091916,0,0,0
0.62,3.947038889,-303.5961652,678.0305733,1.210091916,0,0,0
0.63,4.021044444,-303.5961652,678.0305733,1.210091916,0,0,0
0.64,4.09535,-303.5961652,678.0305733,1.210091916,0,0,0
0.65,4.169955556,-303.5961652,678.0305733,1.210091916,0,0,0
0.66,4.244861111,-303.5961652,678.0305733,1.210091916,0,0,0
0.67,4.320066667,-303.5961652,678.0305733,1.210091916,0,0,0
0.68,4.395572222,-303.5961652,678.0305733,1.210091916,0,0,0
0.69,4.471377778,-303.5961652,678.0305733,1.210091916,0,0,0
0.7,4.547483333,-303.5961652,678.0305733,1.210091916,0,0,0
0.71,4.623888889,-303.5961652,678.0305733,1.210091916,0,0,0
0.72,4.700594444,-303.5961652,678.0305733,1.210091916,0,0,0
0.73,4.7776,-303.5961652,678.0305733,1.210091916,0,0,0
0.74,4.854905556,-303.5961652,678.0305733,1.210091916,0,0,0
0.75,4.932511111,-303.5961652,678.0305733,1.210091916,0,0,0
0.76,5.010416667,-303.5961652,678.0305733,1.210091916,0,0,0
0.77,5.088622222,-303.5961652,678.0305733,1.210091916,0,0,0
0.78,5.167127778,-303.5961652,678.0305733,1.210091916,0,0,0
0.79,5.245933333,-303.5961652,678.0305733,1.210091916,0,0,0
0.8,5.325038889,-303.5961652,678.0305733,1.210091916,0,0,0
0.81,5.404444444,-303.5961652,678.0305733,1.210091916,0,0,0
0.82,5.48415,-303.5961652,678.0305733,1.210091916,0,0,0
0.83,5.564155556,-303.5961652,678.0305733,1.210091916,0,0,0
0.84,5.644461111,-303.5961652,678.0305733,1.210091916,0,0,0
0.85,5.725066667,-303.5961652,678.0305733,1.210091916,0,0,0
0.86,5.805972222,-303.5961652,678.0305733,1.210091916,0,0,0
0.87,5.887177778,-303.5961652,678.0305733,1.210091916,0,0,0
0.88,5.968683333,-303.5961652,678.0305733,1.210091916,0,0,0
0.89,6.050488889,-303.5961652,678.0305733,1.210091916,0,0,0
0.9,6.132594444,-303.5961652,678.0305733,1.210091916,0,0,0
0.91,6.215,-303.5961652,678.0305733,1.210091916,0,0,0
0.92,6.297705556,-303.5961652,678.0305733,1.210091916,0,0,0
0.93,6.380711111,-303.5961652,678.0305733,1.210091916,0,0,0
0.94,6.464016667,-303.5961652,678.0305733,1.210091916,0,0,0
0.95,6.547622222,-303.5961652,678.0305733,1.210091916,0,0,0
0.96,6.631527778,-303.5961652,678.0305733,1.210091916,0,0,0
0.97,6.715733333,-303.5961652,678.0305733,1.210091916,0,0,0
0.98,6.800238889,-303.5961652,678.0305733,1.210091916,0,0,0
0.99,6.885044444,-303.5961652,678.0305733,1.210091916,0,0,0
1,6.97015,-303.5961652,678.0305733,1.210091916,0,0,0
1.01,7.055555556,-303.5961652,678.0305733,1.210091916,0,0,0
1.02,7.141261111,-303.5961652,678.0305733,1.210091916,0,0,0
1.03,7.227266667,-303.5961652,678.0305733,1.210091916,0,0,0
1.04,7.313572222,-303.5961652,678.0305733,1.210091916,0,0,0
1.05,7.400177778,-303.5961652,678.0305733,1.210091916,0,0,0
1.06,7.487083333,-303.5961652,678.0305733,1.210091916,0,0,0
1.07,7.574288889,-303.5961652,678.0305733,1.210091916,0,0,0
1.08,7.661794444,-303.5961652,678.0305733,1.210091916,0,0,0
1.09,7.7496,-303.5961652,678.0305733,1.210091916,0,0,0
1.1,7.837705556,-303.5961652,678.0305733,1.210091916,0,0,0
1.11,7.926111111,-303.5961652,678.0305733,1.210091916,0,0,0
1.12,8.014816667,-303.5961652,678.0305733,1.210091916,0,0,0
1.13,8.103822222,-303.5961652,678.0305733,1.210091916,0,0,0
1.14,8.193127778,-303.5961652,678.0305733,1.210091916,0,0,0
1.15,8.282733333,-303.5961652,678.0305733,1.210091916,0,0,0
1.16,8.372638889,-303.5961652,678.0305733,1.210091916,0,0,0
1.17,8.462844444,-303.5961652,678.0305733,1.210091916,0,0,0
1.18,8.55335,-303.5961652,678.0305733,1.210091916,0,0,0
1.19,8.644155556,-303.5961652,678.0305733,1.210091916,0,0,0
1.2,8.735261111,-303.5961652,678.0305733,1.210091916,0,0,0
1.21,8.826666667,-303.5961652,678.0305733,1.210091916,0,0,0
1.22,8.918372222,-303.5961652,678.0305733,1.210091916,0,0,0
1.23,9.010377778,-303.5961652,678.0305733,1.210091916,0,0,0
1.24,9.102683333,-303.5961652,678.0305733,1.210091916,0,0,0
1.25,9.195288889,-303.5961652,678.0305733,1.210091916,0,0,0
1.26,9.288194444,-303.5961652,678.0305733,1.210091916,0,0,0
