time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,-376.1645163,186.7131954,-1.608685198,-8.54E-13,11.11111111,0
0.02,0.111111111,-376.1687036,186.6021632,-1.608108185,0.009378987,11.11111111,0
0.03,0.222222222,-376.1727919,186.4911273,-1.607098862,0.009201663,11.11111111,0
0.04,0.333333333,-376.176764,186.3800873,-1.605967272,0.011350073,11.11111111,0
0.05,0.444444444,-376.1805961,186.2690423,-1.604606811,0.011682227,11.11111111,0
0.06,0.555555556,-376.184287,186.1579925,-1.603496879,0.008218729,11.11111111,0
0.07,0.666666667,-376.1878736,186.0469393,-1.602656113,0.008458705,11.11111111,0
0.08,0.777777778,-376.1913565,185.9358828,-1.601618253,0.009773367,11.11111111,0
0.09,0.888888889,-376.1947167,185.8248225,-1.600419218,0.012150062,11.11111111,0
0.1,1,-376.1979365,185.713758,-1.599200517,0.009212528,11.11111111,0
0.11,1.111111111,-376.2010424,185.6026904,-1.598367271,0.006360592,11.11111111,0
0.12,1.222222222,-376.2040603,185.4916202,-1.597504482,0.008826106,11.11111111,0
0.13,1.333333333,-376.2069714,185.3805473,-1.59647123,0.01023518,11.11111111,0
0.14,1.444444444,-376.2097555,185.2694711,-1.59522926,0.010520524,11.11111111,0
0.15,1.555555556,-376.2124127,185.1583917,-1.594265782,0.006837685,11.11111111,0
0.16,1.666666667,-376.2149825,185.0473103,-1.593575335,0.007193244,11.11111111,0
0.17,1.777777778,-376.2174642,184.9362269,-1.592669077,0.008647605,11.11111111,0
0.18,1.888888889,-376.219837,184.8251412,-1.591582776,0.011275268,11.11111111,0
0.19,2,-376.2220809,184.7140527,-1.590472797,0.008075406,11.11111111,0
0.2,2.111111111,-376.224225,184.6029623,-1.589783275,0.004966053,11.11111111,0
0.21,2.222222222,-376.2262974,184.4918705,-1.589059446,0.007684979,11.11111111,0
0.22,2.333333333,-376.2282773,184.3807771,-1.588147241,0.009248731,11.11111111,0
0.23,2.444444444,-376.2301422,184.2696816,-1.587003562,0.009554859,11.11111111,0
0.24,2.555555556,-376.2318924,184.1585843,-1.586170733,0.005467725,11.11111111,0
0.25,2.666666667,-376.2335719,184.0474859,-1.585637916,0.00590904,11.11111111,0
0.26,2.777777778,-376.2351792,183.9363864,-1.584860159,0.00756063,11.11111111,0
0.27,2.888888889,-376.2366905,183.8252856,-1.583876059,0.010577697,11.11111111,0
0.28,3,-376.2380833,183.7141832,-1.582867617,0.006846343,11.11111111,0
0.29,3.111111111,-376.2393911,183.6030798,-1.582342624,0.003333012,11.11111111,0
0.3,3.222222222,-376.2406457,183.4919758,-1.58176836,0.006560694,11.11111111,0
0.31,3.333333333,-376.241822,183.3808709,-1.580968289,0.008464606,11.11111111,0
0.32,3.444444444,-376.242893,183.2697649,-1.579887474,0.00880227,11.11111111,0
0.33,3.555555556,-376.2438592,183.158658,-1.579190273,0.003824248,11.11111111,0
0.34,3.666666667,-376.2447741,183.0475507,-1.57885022,0.004494485,11.11111111,0
0.35,3.777777778,-376.2456346,182.9364429,-1.578196319,0.006610607,11.11111111,0
0.36,3.888888889,-376.2464099,182.8253345,-1.577272149,0.010586443,11.11111111,0
0.37,4,-376.2470708,182.7142254,-1.576325612,0.005471914,11.11111111,0
0.38,4.111111111,-376.2476629,182.6031158,-1.57602278,0.000961321,11.11111111,0
0.39,4.222222222,-376.2482268,182.4920061,-1.575629045,0.005535808,11.11111111,0
0.4,4.333333333,-376.248726,182.3808962,-1.57490454,0.008311512,11.11111111,0
0.41,4.444444444,-376.2491215,182.2697858,-1.573781238,0.009107846,11.11111111,0
0.42,4.555555556,-376.2494099,182.158675,-1.573124667,0.002516867,11.11111111,0
0.43,4.666666667,-376.2496623,182.0475642,-1.573002797,0.002435511,11.11111111,0
0.44,4.777777778,-376.2498855,181.9364533,-1.572571377,0.004634916,11.11111111,0
0.45,4.888888889,-376.2500498,181.8253423,-1.571927269,0.007238461,11.11111111,0
0.46,5,-376.2501302,181.7142312,-1.571124329,0.006883695,11.11111111,0
0.47,5.111111111,-376.250131,181.6031201,-1.570544291,0.003854408,11.11111111,0
0.48,5.222222222,-376.2500794,181.492009,-1.570120145,0.003703978,11.11111111,0
0.49,5.333333333,-376.2499825,181.380898,-1.569745117,0.002752916,11.11111111,0
0.5,5.444444444,-376.2498519,181.2697869,-1.569492504,0.003250543,11.11111111,0
0.51,5.555555556,-376.2496788,181.158676,-1.5689196,0.006734235,11.11111111,0
0.52,5.666666667,-376.2494257,181.0475651,-1.568139374,0.00580776,11.11111111,0
0.53,5.777777778,-376.2491002,180.9364545,-1.567626684,0.003867599,11.11111111,0
0.54,5.888888889,-376.2487292,180.825344,-1.567349436,0.000762093,11.11111111,0
0.55,6,-376.2483384,180.7142336,-1.567152266,0.003407126,11.11111111,0
0.56,6.111111111,-376.2479046,180.6031233,-1.566564146,0.006564181,11.11111111,0
0.57,6.222222222,-376.2474,180.4920134,-1.565996228,0.004001155,11.11111111,0
0.58,6.333333333,-376.2468438,180.3809036,-1.565607514,0.002630507,11.11111111,0
0.59,6.444444444,-376.2462557,180.2697941,-1.565416227,0.001967883,11.11111111,0
0.6,6.555555556,-376.2456411,180.1586847,-1.565068007,0.004406812,11.11111111,0
0.61,6.666666667,-376.2449741,180.0475756,-1.564525464,0.004225448,11.11111111,0
0.62,6.777777778,-376.2442544,179.9364668,-1.564130618,0.003193307,11.11111111,0
0.63,6.888888889,-376.2434966,179.8253583,-1.563851483,0.001637354,11.11111111,0
0.64,7,-376.2427135,179.7142499,-1.563618224,0.002863763,11.11111111,0
0.65,7.111111111,-376.2418945,179.6031418,-1.563201405,0.004341939,11.11111111,0
0.66,7.222222222,-376.2410269,179.4920341,-1.562799553,0.003058398,11.11111111,0
0.67,7.333333333,-376.2401205,179.3809267,-1.562489022,0.002347446,11.11111111,0
0.68,7.444444444,-376.2391854,179.2698195,-1.562279888,0.002006299,11.11111111,0
0.69,7.555555556,-376.2382244,179.1587126,-1.56199183,0.003218998,11.11111111,0
0.7,7.666666667,-376.2372246,179.0476059,-1.561610621,0.003063116,11.11111111,0
0.71,7.777777778,-376.2361869,178.9364997,-1.561311718,0.002478275,11.11111111,0
0.72,7.888888889,-376.2351192,178.8253937,-1.561079317,0.001600285,11.11111111,0
0.73,8,-376.2340289,178.7142879,-1.560874334,0.002255845,11.11111111,0
0.74,8.111111111,-376.2329106,178.6031825,-1.560572013,0.003022163,11.11111111,0
0.75,8.222222222,-376.2317578,178.4920773,-1.560283342,0.00226649,11.11111111,0
0.76,8.333333333,-376.2305763,178.3809725,-1.56005025,0.001825244,11.11111111,0
0.77,8.444444444,-376.2293725,178.2698679,-1.559878752,0.001597952,11.11111111,0
0.78,8.555555556,-376.2281483,178.1587635,-1.55966575,0.002260921,11.11111111,0
0.79,8.666666667,-376.2268968,178.0476595,-1.559402464,0.002148014,11.11111111,0
0.8,8.777777778,-376.2256186,177.9365557,-1.559188901,0.001786702,11.11111111,0
0.81,8.888888889,-376.2243188,177.8254522,-1.559015693,0.001275101,11.11111111,0
0.82,9,-376.2230017,177.7143489,-1.558862804,0.001563943,11.11111111,0
0.83,9.111111111,-376.221665,177.6032458,-1.558659974,0.002001837,11.11111111,0
0.84,9.222222222,-376.2203051,177.492143,-1.558459873,0.001647337,11.11111111,0
0.85,9.333333333,-376.2189245,177.3810405,-1.558284564,0.001458292,11.11111111,0
0.86,9.444444444,-376.217526,177.2699382,-1.558136458,0.001364831,11.11111111,0
0.87,9.555555556,-376.2161103,177.1588361,-1.557967538,0.001687049,11.11111111,0
0.88,9.666666667,-376.2146741,177.0477343,-1.557773781,0.001646358,11.11111111,0
0.89,9.777777778,-376.2132175,176.9366327,-1.557601742,0.001493928,11.11111111,0
0.9,9.888888889,-376.2117426,176.8255314,-1.557447434,0.001253588,11.11111111,0
0.91,10,-376.2102515,176.7144303,-1.557299135,0.001464681,11.11111111,0
0.92,10.11111111,-376.2087422,176.6033294,-1.557121447,0.001685435,11.11111111,0
0.93,10.22222222,-376.207213,176.4922288,-1.556948341,0.001458461,11.11111111,0
0.94,10.33333333,-376.2056655,176.3811285,-1.556791942,0.001322409,11.11111111,0
0.95,10.44444444,-376.2041018,176.2700284,-1.556654666,0.001263461,11.11111111,0
0.96,10.55555556,-376.2025223,176.1589285,-1.556501364,0.001500155,11.11111111,0
0.97,10.66666667,-376.2009245,176.0478289,-1.556330532,0.001461229,11.11111111,0
0.98,10.77777778,-376.1993086,175.9367295,-1.556176634,0.001341494,11.11111111,0
0.99,10.88888889,-376.1976763,175.8256304,-1.556036868,0.0011508,11.11111111,0
1,11,-376.1960291,175.7145315,-1.555901773,0.001319806,11.11111111,0
1.01,11.11111111,-376.1943656,175.6034329,-1.555743625,0.001488408,11.11111111,0
1.02,11.22222222,-376.1926844,175.4923345,-1.555589936,0.001300349,11.11111111,0
1.03,11.33333333,-376.190987,175.3812363,-1.555450348,0.001184588,11.11111111,0
1.04,11.44444444,-376.189275,175.2701384,-1.55532684,0.001131423,11.11111111,0
1.05,11.55555556,-376.1875489,175.1590407,-1.555190941,0.001319106,11.11111111,0
1.06,11.66666667,-376.1858067,175.0479432,-1.555041091,0.001286653,11.11111111,0
1.07,11.77777778,-376.1840485,174.936846,-1.554905086,0.001187059,11.11111111,0
1.08,11.88888889,-376.1822758,174.8257491,-1.554780484,0.001038697,11.11111111,0
1.09,12,-376.1804898,174.7146523,-1.554660784,0.001143346,11.11111111,0
1.1,12.11111111,-376.1786897,174.6035558,-1.554524694,0.001279321,11.11111111,0
1.11,12.22222222,-376.1768742,174.4924595,-1.554389752,0.001164987,11.11111111,0
1.12,12.33333333,-376.1750442,174.3813635,-1.55426282,0.001102121,11.11111111,0
1.13,12.44444444,-376.1732006,174.2702677,-1.554144987,0.001076625,11.11111111,0
1.14,12.55555556,-376.1713437,174.1591721,-1.554018645,0.001199543,11.11111111,0
1.15,12.66666667,-376.169472,174.0480767,-1.553883052,0.001184222,11.11111111,0
1.16,12.77777778,-376.1675857,173.9369816,-1.553755463,0.001128811,11.11111111,0
1.17,12.88888889,-376.1656856,173.8258868,-1.553634508,0.001036262,11.11111111,0
1.18,13,-376.1637723,173.7147921,-1.553515236,0.001130866,11.11111111,0
1.19,13.11111111,-376.161845,173.6036977,-1.553383404,0.001222106,11.11111111,0
1.2,13.22222222,-376.1599031,173.4926036,-1.553253496,0.001127978,11.11111111,0
1.21,13.33333333,-376.1579471,173.3815097,-1.553130487,0.001071143,11.11111111,0
1.22,13.44444444,-376.1559779,173.270416,-1.553015521,0.001049382,11.11111111,0
1.23,13.55555556,-376.1539956,173.1593226,-1.552892949,0.001158365,11.11111111,0
1.24,13.66666667,-376.1519992,173.0482294,-1.552762237,0.001143933,11.11111111,0
1.25,13.77777778,-376.1499886,172.9371365,-1.552638728,0.001093772,11.11111111,0
1.26,13.88888889,-376.1479646,172.8260438,-1.552521196,0.001011143,11.11111111,0
1.27,14,-376.1459278,172.7149514,-1.552405314,0.001092472,11.11111111,0
1.28,14.11111111,-376.1438775,172.6038592,-1.552278399,0.001174472,11.11111111,0
1.29,14.22222222,-376.141813,172.4927673,-1.552152937,0.001094181,11.11111111,0
1.3,14.33333333,-376.139735,172.3816756,-1.552033269,0.001046444,11.11111111,0
1.31,14.44444444,-376.137644,172.2705842,-1.551920437,0.001030281,11.11111111,0
1.32,14.55555556,-376.1355403,172.159493,-1.551800524,0.001127817,11.11111111,0
1.33,14.66666667,-376.1334227,172.048402,-1.551673599,0.001111592,11.11111111,0
1.34,14.77777778,-376.1312913,171.9373114,-1.551553476,0.001063753,11.11111111,0
1.35,14.88888889,-376.1291469,171.826221,-1.551439091,0.000985309,11.11111111,0
1.36,15,-376.1269901,171.7151308,-1.551326363,0.001060384,11.11111111,0
1.37,15.11111111,-376.1248202,171.6040409,-1.551203418,0.001136236,11.11111111,0
1.38,15.22222222,-376.1226365,171.4929512,-1.551081929,0.001060214,11.11111111,0
1.39,15.33333333,-376.1204396,171.3818618,-1.550965966,0.001014718,11.11111111,0
1.4,15.44444444,-376.1182303,171.2707727,-1.55085648,0.000998218,11.11111111,0
1.41,15.55555556,-376.1160086,171.1596838,-1.550740618,0.001087419,11.11111111,0
1.42,15.66666667,-376.1137735,171.0485952,-1.550618296,0.001072723,11.11111111,0
1.43,15.77777778,-376.1115252,170.9375068,-1.550502219,0.001028692,11.11111111,0
1.44,15.88888889,-376.1092642,170.8264187,-1.550391386,0.000957416,11.11111111,0
1.45,16,-376.1069911,170.7153308,-1.550282165,0.001023399,11.11111111,0
1.46,16.11111111,-376.1047054,170.6042432,-1.550163819,0.001092175,11.11111111,0
1.47,16.22222222,-376.1024065,170.4931559,-1.55004666,0.001025285,11.11111111,0
1.48,16.33333333,-376.1000949,170.3820688,-1.54993433,0.000985722,11.11111111,0
1.49,16.44444444,-376.0977711,170.270982,-1.549827654,0.000971526,11.11111111,0
1.5,16.55555556,-376.0954353,170.1598955,-1.54971534,0.001050242,11.11111111,0
1.51,16.66666667,-376.0930865,170.0488092,-1.549597312,0.00103763,11.11111111,0
1.52,16.77777778,-376.090725,169.9377232,-1.549484724,0.00099965,11.11111111,0
1.53,16.88888889,-376.0883511,169.8266374,-1.549376734,0.000935976,11.11111111,0
1.54,17,-376.0859655,169.7155519,-1.549269916,0.001000602,11.11111111,0
1.55,17.11111111,-376.0835675,169.6044667,-1.549154639,0.001060716,11.11111111,0
1.56,17.22222222,-376.0811567,169.4933817,-1.54904093,0.000994067,11.11111111,0
1.57,17.33333333,-376.0787336,169.3822971,-1.548932195,0.000952956,11.11111111,0
1.58,17.44444444,-376.0762987,169.2712126,-1.548829203,0.000935513,11.11111111,0
1.59,17.55555556,-376.0738521,169.1601285,-1.548721317,0.001008293,11.11111111,0
1.6,17.66666667,-376.0713932,169.0490446,-1.54860788,0.000999432,11.11111111,0
1.61,17.77777778,-376.068922,168.9379609,-1.548499196,0.00096681,11.11111111,0
1.62,17.88888889,-376.0664389,168.8268776,-1.548394472,0.000910687,11.11111111,0
1.63,18,-376.0639443,168.7157945,-1.548290574,0.00097219,11.11111111,0
1.64,18.11111111,-376.0614377,168.6047116,-1.548178957,0.001024374,11.11111111,0
1.65,18.22222222,-376.0589187,168.4936291,-1.548069098,0.000960437,11.11111111,0
1.66,18.33333333,-376.0563878,168.3825468,-1.547964116,0.000919897,11.11111111,0
1.67,18.44444444,-376.0538456,168.2714648,-1.547864714,0.000901006,11.11111111,0
1.68,18.55555556,-376.0512922,168.160383,-1.547761088,0.000967262,11.11111111,0
1.69,18.66666667,-376.0487269,168.0493015,-1.5476522,0.00096152,11.11111111,0
1.7,18.77777778,-376.0461497,167.9382203,-1.547547404,0.000933826,11.11111111,0
1.71,18.88888889,-376.043561,167.8271393,-1.54744595,0.000885672,11.11111111,0
1.72,19,-376.0409612,167.7160587,-1.547345112,0.00094056,11.11111111,0
1.73,19.11111111,-376.0383498,167.6049782,-1.547237474,0.000985935,11.11111111,0
1.74,19.22222222,-376.0357265,167.4938981,-1.547131419,0.00092962,11.11111111,0
1.75,19.33333333,-376.0330916,167.3828182,-1.547029642,0.000893505,11.11111111,0
1.76,19.44444444,-376.0304457,167.2717386,-1.546932876,0.000878956,11.11111111,0
1.77,19.55555556,-376.0277889,167.1606593,-1.546831728,0.000942313,11.11111111,0
1.78,19.66666667,-376.0251206,167.0495802,-1.546725959,0.000931285,11.11111111,0
1.79,19.77777778,-376.0224407,166.9385014,-1.54662477,0.000898814,11.11111111,0
1.8,19.88888889,-376.0197497,166.8274229,-1.54652742,0.000847163,11.11111111,0
1.81,20,-376.0170482,166.7163446,-1.546431353,0.000892539,11.11111111,0
1.82,20.11111111,-376.0143356,166.6052666,-1.546328959,0.000940222,11.11111111,0
1.83,20.22222222,-376.0116116,166.4941889,-1.54622749,0.000892281,11.11111111,0
1.84,20.33333333,-376.0088765,166.3831115,-1.546129513,0.000863598,11.11111111,0
1.85,20.44444444,-376.0061308,166.2720343,-1.54603561,0.00085283,11.11111111,0
1.86,20.55555556,-376.0033745,166.1609574,-1.545937817,0.00090738,11.11111111,0
1.87,20.66666667,-376.0006071,166.0498807,-1.545836122,0.000897334,11.11111111,0
1.88,20.77777778,-375.9978286,165.9388044,-1.545738384,0.000869533,11.11111111,0
1.89,20.88888889,-375.9950394,165.8277283,-1.545644018,0.000823168,11.11111111,0
1.9,21,-375.9922398,165.7166525,-1.545550551,0.000869215,11.11111111,0
1.91,21.11111111,-375.9894296,165.6055769,-1.545451122,0.000910682,11.11111111,0
1.92,21.22222222,-375.9866082,165.4945016,-1.545353011,0.00086109,11.11111111,0
1.93,21.33333333,-375.9837762,165.3834266,-1.545258663,0.000829848,11.11111111,0
1.94,21.44444444,-375.980934,165.2723518,-1.545168629,0.000815567,11.11111111,0
1.95,21.55555556,-375.9780816,165.1612773,-1.545075264,0.000866689,11.11111111,0
1.96,21.66666667,-375.9752187,165.0502031,-1.544977972,0.000860166,11.11111111,0
1.97,21.77777778,-375.972345,164.9391292,-1.544884101,0.000836597,11.11111111,0
1.98,21.88888889,-375.9694611,164.8280555,-1.544793078,0.000796483,11.11111111,0
1.99,22,-375.9665672,164.7169821,-1.544702697,0.00083934,11.11111111,0
2,22.11111111,-375.963663,164.6059089,-1.544606962,0.000875067,11.11111111,0
2.01,22.22222222,-375.9607481,164.4948361,-1.54451258,0.000829073,11.11111111,0
2.02,22.33333333,-375.9578229,164.3837635,-1.54442172,0.000799334,11.11111111,0
2.03,22.44444444,-375.9548879,164.2726911,-1.544334963,0.00078674,11.11111111,0
2.04,22.55555556,-375.9519432,164.161619,-1.544244824,0.000836281,11.11111111,0
2.05,22.66666667,-375.9489881,164.0505472,-1.544151096,0.000826789,11.11111111,0
2.06,22.77777778,-375.9460229,163.9394757,-1.544061095,0.000800084,11.11111111,0
2.07,22.88888889,-375.9430478,163.8284044,-1.543974216,0.000758878,11.11111111,0
2.08,23,-375.9400632,163.7173334,-1.543888526,0.00079153,11.11111111,0
2.09,23.11111111,-375.9370688,163.6062626,-1.543798073,0.000828781,11.11111111,0
2.1,23.22222222,-375.9340643,163.4951922,-1.543708212,0.00079338,11.11111111,0
2.11,23.33333333,-375.9310501,163.3841219,-1.543620876,0.000772465,11.11111111,0
2.12,23.44444444,-375.9280262,163.273052,-1.543536566,0.000766463,11.11111111,0
2.13,23.55555556,-375.9249929,163.1619823,-1.543448879,0.00080998,11.11111111,0
2.14,23.66666667,-375.9219497,163.0509129,-1.543358429,0.000797109,11.11111111,0
2.15,23.77777778,-375.9188965,162.9398437,-1.543271731,0.000769557,11.11111111,0
2.16,23.88888889,-375.915834,162.8287748,-1.54318829,0.000727786,11.11111111,0
2.17,24,-375.9127623,162.7177062,-1.543106212,0.000757339,11.11111111,0
2.18,24.11111111,-375.9096812,162.6066378,-1.543019595,0.000794183,11.11111111,0
2.19,24.22222222,-375.9065905,162.4955697,-1.54293345,0.0007609,11.11111111,0
2.2,24.33333333,-375.9034903,162.3845018,-1.542849652,0.000741685,11.11111111,0
2.21,24.44444444,-375.9003811,162.2734342,-1.54276865,0.0007361,11.11111111,0
2.22,24.55555556,-375.8972626,162.1623669,-1.542684533,0.00077611,11.11111111,0
2.23,24.66666667,-375.8941347,162.0512998,-1.542597905,0.000763762,11.11111111,0
2.24,24.77777778,-375.8909973,161.940233,-1.542514785,0.000738141,11.11111111,0
2.25,24.88888889,-375.8878508,161.8291664,-1.542434742,0.000698104,11.11111111,0
2.26,25,-375.8846956,161.7181001,-1.542355855,0.000729572,11.11111111,0
2.27,25.11111111,-375.8815314,161.6070341,-1.542272509,0.000763084,11.11111111,0
2.28,25.22222222,-375.8783579,161.4959683,-1.542190008,0.000726332,11.11111111,0
2.29,25.33333333,-375.8751754,161.3849028,-1.542110252,0.000703819,11.11111111,0
