time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,-288.6161423,403.6910437,-2.689860688,-0.018059103,20.7852824,2.999378233
0.02,0.194444444,-288.8031896,403.6007264,-2.693663297,-0.018581212,20.75697353,2.999723655
0.03,0.388888889,-288.9905881,403.5111205,-2.697423878,-0.017611438,20.78697284,2.999930913
0.04,0.583333333,-289.1785895,403.422083,-2.701171373,-0.018309757,20.81697284,3
0.05,0.777777778,-289.3672001,403.3336349,-2.705013321,-0.017835301,20.84697215,2.999930913
0.06,0.972222222,-289.5564134,403.2457687,-2.708705339,-0.018025634,20.87696938,2.999723655
0.07,1.166666667,-289.745471,403.158836,-2.712518653,-0.018613218,20.74040216,2.999378233
0.08,1.361111111,-289.9343718,403.0728413,-2.716218481,-0.017729056,20.7703911,2.998894662
0.09,1.555555556,-290.1238621,402.9874212,-2.71996674,-0.018344504,20.80037383,2.998272961
0.1,1.75,-290.3139492,402.9025991,-2.723751879,-0.017120504,20.83034897,2.997513154
0.11,1.944444444,-290.5046227,402.8183593,-2.727434278,-0.018007294,20.86031512,2.996615271
0.12,2.138888889,-290.6956188,402.7348334,-2.731255947,-0.018327071,20.83194908,2.995579348
0.13,2.333333333,-290.8869342,402.6520219,-2.734912239,-0.017745307,20.86189313,2.994405425
0.14,2.527777778,-291.0788199,402.5698038,-2.738675993,-0.018352615,20.88973253,2.993093549
0.15,2.722222222,-291.2712815,402.4882006,-2.742401241,-0.017230185,20.91964897,2.991643772
0.16,2.916666667,-291.4643171,402.4071885,-2.746106278,-0.018040402,20.94954953,2.990056151
0.17,3.111111111,-291.6579333,402.3267915,-2.749922694,-0.017488777,20.97943284,2.988330748
0.18,3.305555556,-291.852123,402.2470002,-2.753564746,-0.017709572,21.00929752,2.986467632
0.19,3.5,-292.0461154,402.1681302,-2.757343434,-0.018383691,20.87319457,2.984466876
0.2,3.694444444,-292.239909,402.090186,-2.760986308,-0.017383369,20.90301786,2.982328559
0.21,3.888888889,-292.4342619,402.0128372,-2.764691189,-0.018065484,20.93281838,2.980052766
0.22,4.083333333,-292.6291813,401.9361102,-2.768425369,-0.016729826,20.96259478,2.977639587
