time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,-344.1973185,420.9427727,2.361633901,-0.016271793,19.44444444,0
0.02,0.194444444,-344.3353429,421.0797321,2.358513731,-0.015845838,19.44444444,0
0.03,0.388888889,-344.4729445,421.2171162,2.355459764,-0.015901878,19.44444444,0
0.04,0.583333333,-344.6101224,421.3549235,2.35236336,-0.015719163,19.44444444,0
0.05,0.777777778,-344.7468781,421.4931497,2.349342577,-0.015335486,19.44444444,0
0.06,0.972222222,-344.8832184,421.6317857,2.346329673,-0.015649664,19.44444444,0
0.07,1.166666667,-345.0191392,421.770833,2.343333152,-0.015221585,19.44444444,0
0.08,1.361111111,-345.1546481,421.9102818,2.340409465,-0.015049794,19.44444444,0
0.09,1.555555556,-345.2897464,422.0501283,2.337447053,-0.015073591,19.44444444,0
0.1,1.75,-345.4244338,422.1903706,2.334549908,-0.014708017,19.44444444,0
0.11,1.944444444,-345.5587185,422.3309987,2.33168312,-0.015017606,19.44444444,0
0.12,2.138888889,-345.692597,422.4720135,2.328810655,-0.01458534,19.44444444,0
0.13,2.333333333,-345.8260751,422.6134073,2.326012193,-0.014210754,19.44444444,0
0.14,2.527777778,-345.9591567,422.7551743,2.323189694,-0.014429662,19.44444444,0
0.15,2.722222222,-346.09184,422.8973143,2.320416612,-0.014087596,19.44444444,0
0.16,2.916666667,-346.2241331,423.0398174,2.317692588,-0.014285079,19.44444444,0
0.17,3.111111111,-346.3560346,423.1826832,2.314944184,-0.013944719,19.44444444,0
0.18,3.305555556,-346.4875481,423.3259061,2.312267065,-0.013562238,19.44444444,0
0.19,3.5,-346.6186794,423.4694791,2.309587534,-0.01381335,19.44444444,0
0.2,3.694444444,-346.7494259,423.6134026,2.306936856,-0.013470344,19.44444444,0
0.21,3.888888889,-346.879795,423.757668,2.304345605,-0.013430194,19.44444444,0
0.22,4.083333333,-347.0097878,423.9022726,2.301727147,-0.013338898,19.44444444,0
0.23,4.277777778,-347.139405,424.047214,2.299157416,-0.013073251,19.44444444,0
0.24,4.472222424,-347.2686518,424.1924858,2.296603825,-0.01322174,19.44444444,0
0.25,4.666668562,-347.3975263,424.3380879,2.294055504,-0.01300813,19.44444444,0
0.26,4.861118365,-347.5260323,424.4840154,2.291546091,-0.012891688,19.44444444,0
0.27,5.055574006,-347.6541709,424.6302656,2.289022473,-0.012898252,19.44444444,0
0.28,5.250037654,-347.7819423,424.7768367,2.286533607,-0.012693822,19.44444444,0
0.29,5.444511477,-347.9093511,424.9237232,2.284067134,-0.012806424,19.44444444,0
0.3,5.63899764,-348.0363961,425.0709244,2.281599157,-0.01259473,19.44444444,0
0.31,5.833498306,-348.1630802,425.2184362,2.279169822,-0.012386316,19.44444444,0
0.32,6.028015634,-348.289406,425.3662551,2.276734824,-0.012485455,19.44444444,0
0.33,6.222551783,-348.4153727,425.5143802,2.274325063,-0.012303883,19.44444444,0
0.34,6.417108908,-348.5409847,425.662806,2.271944021,-0.01236483,19.44444444,0
0.35,6.611689159,-348.6662417,425.8115317,2.269554444,-0.012184594,19.44444444,0
0.36,6.806294687,-348.7911459,425.9605537,2.267204616,-0.011961767,19.44444444,0
