time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,-340.6573369,35.75871753,1.598784168,-0.000232341,5.555555556,0
0.02,0.055555556,-340.6588913,35.81425133,1.598771274,-0.000231835,5.555555556,0
0.03,0.111111111,-340.6604449,35.86978516,1.598758408,-0.000231418,5.555555556,0
0.04,0.166666667,-340.6619978,35.92531901,1.598745556,-0.000231233,5.555555556,0
0.05,0.222222222,-340.6635499,35.98085288,1.598732746,-0.00022875,5.555555556,0
0.06,0.277777778,-340.6651014,36.03638677,1.598720176,-0.000223743,5.555555556,0
0.07,0.333333333,-340.6666522,36.09192067,1.598707772,-0.00022474,5.555555556,0
0.08,0.388888889,-340.6682023,36.1474546,1.598695179,-0.000228611,5.555555556,0
0.09,0.444444444,-340.6697516,36.20298855,1.598682393,-0.000231566,5.555555556,0
0.1,0.5,-340.6713003,36.25852251,1.59866945,-0.000234392,5.555555556,0
0.11,0.555555556,-340.6728483,36.3140565,1.598656349,-0.000237237,5.555555556,0
0.12,0.611111111,-340.6743955,36.36959051,1.598643088,-0.000240375,5.555555556,0
0.13,0.666666667,-340.6759419,36.42512453,1.598629626,-0.000244283,5.555555556,0
0.14,0.722222222,-340.6774877,36.48065858,1.59861599,-0.000244841,5.555555556,0
0.15,0.777777778,-340.6790326,36.53619265,1.598602475,-0.000241717,5.555555556,0
0.16,0.833333333,-340.6805768,36.59172674,1.598589116,-0.000239458,5.555555556,0
0.17,0.888888889,-340.6821203,36.64726085,1.598575864,-0.000237614,5.555555556,0
0.18,0.944444444,-340.6836631,36.70279498,1.598562713,-0.000235848,5.555555556,0
0.19,1,-340.6852051,36.75832913,1.598549659,-0.000234103,5.555555556,0
0.2,1.055555556,-340.6867464,36.8138633,1.598536699,-0.000232472,5.555555556,0
0.21,1.111111111,-340.6882869,36.8693975,1.59852383,-0.000230679,5.555555556,0
0.22,1.166666667,-340.6898268,36.92493171,1.598511076,-0.000228464,5.555555556,0
0.23,1.222222222,-340.691366,36.98046594,1.598498418,-0.000228281,5.555555556,0
0.24,1.277777778,-340.6929044,37.03600019,1.598485679,-0.000230332,5.555555556,0
0.25,1.333333333,-340.6944422,37.09153446,1.598472861,-0.000230522,5.555555556,0
0.26,1.388888889,-340.6959792,37.14706874,1.598460073,-0.000229821,5.555555556,0
0.27,1.444444444,-340.6975155,37.20260305,1.598447321,-0.000229295,5.555555556,0
0.28,1.5,-340.6990511,37.25813738,1.598434596,-0.000228793,5.555555556,0
0.29,1.555555556,-340.700586,37.31367173,1.598421899,-0.000228292,5.555555556,0
0.3,1.611111111,-340.7021203,37.3692061,1.598409231,-0.000227721,5.555555556,0
0.31,1.666666667,-340.7036538,37.42474048,1.598396601,-0.000226967,5.555555556,0
0.32,1.722222222,-340.7051866,37.48027489,1.598383995,-0.000227558,5.555555556,0
0.33,1.777777778,-340.7067187,37.53580932,1.598371295,-0.000229625,5.555555556,0
0.34,1.833333333,-340.7082501,37.59134376,1.598358533,-0.000228886,5.555555556,0
0.35,1.888888889,-340.7097807,37.64687823,1.598345875,-0.000226804,5.555555556,0
0.36,1.944444444,-340.7113107,37.70241271,1.598333323,-0.000225123,5.555555556,0
0.37,2,-340.71284,37.75794721,1.598320861,-0.000223498,5.555555556,0
0.38,2.055555556,-340.7143686,37.81348173,1.598308491,-0.000221853,5.555555556,0
0.39,2.111111111,-340.7158966,37.86901627,1.598296212,-0.000220093,5.555555556,0
0.4,2.166666667,-340.7174238,37.92455083,1.598284042,-0.000218033,5.555555556,0
0.41,2.222222222,-340.7189504,37.98008541,1.59827197,-0.000217179,5.555555556,0
0.42,2.277777778,-340.7204763,38.03562001,1.598259892,-0.000217651,5.555555556,0
0.43,2.333333333,-340.7220015,38.09115462,1.598247784,-0.000218267,5.555555556,0
0.44,2.388888889,-340.723526,38.14668926,1.598235639,-0.000218951,5.555555556,0
0.45,2.444444444,-340.7250499,38.20222391,1.59822346,-0.000219486,5.555555556,0
0.46,2.5,-340.7265731,38.25775858,1.598211252,-0.000220009,5.555555556,0
0.47,2.555555556,-340.7280956,38.31329327,1.598199012,-0.000220634,5.555555556,0
0.48,2.611111111,-340.7296175,38.36882798,1.598186738,-0.000221165,5.555555556,0
0.49,2.666666667,-340.7311386,38.4243627,1.598174443,-0.00022145,5.555555556,0
0.5,2.722222222,-340.7326591,38.47989745,1.598162097,-0.000224396,5.555555556,0
0.51,2.777777778,-340.7341789,38.53543221,1.598149467,-0.000230267,5.555555556,0
0.52,2.833333333,-340.735698,38.59096699,1.598136669,-0.000227771,5.555555556,0
0.53,2.888888889,-340.7372163,38.6465018,1.598124195,-0.000221271,5.555555556,0
0.54,2.944444444,-340.738734,38.70203662,1.598112053,-0.000216025,5.555555556,0
0.55,3,-340.740251,38.75757146,1.598100192,-0.000210965,5.555555556,0
0.56,3.055555556,-340.7417674,38.81310632,1.59808861,-0.000205995,5.555555556,0
0.57,3.111111111,-340.7432831,38.86864119,1.598077308,-0.000200473,5.555555556,0
0.58,3.166666667,-340.7447983,38.92417608,1.598066364,-0.000193503,5.555555556,0
0.59,3.222222222,-340.7463128,38.97971099,1.598055715,-0.000193539,5.555555556,0
0.6,3.277777778,-340.7478267,39.03524591,1.598044748,-0.000201276,5.555555556,0
0.61,3.333333333,-340.74934,39.09078085,1.598033464,-0.000202969,5.555555556,0
0.62,3.388888889,-340.7508527,39.14631581,1.598022222,-0.00020177,5.555555556,0
0.63,3.444444444,-340.7523647,39.20185079,1.598011034,-0.000201058,5.555555556,0
0.64,3.5,-340.7538762,39.25738578,1.597999882,-0.000200417,5.555555556,0
0.65,3.555555556,-340.755387,39.31292079,1.597988764,-0.00019981,5.555555556,0
0.66,3.611111111,-340.7568972,39.36845581,1.597977682,-0.000198961,5.555555556,0
0.67,3.666666667,-340.7584068,39.42399086,1.59796667,-0.00019748,5.555555556,0
0.68,3.722222222,-340.7599157,39.47952591,1.59795568,-0.000200544,5.555555556,0
0.69,3.777777778,-340.7614241,39.53506099,1.597944315,-0.000208606,5.555555556,0
0.7,3.833333333,-340.7629318,39.59059608,1.597932689,-0.000206712,5.555555556,0
0.71,3.888888889,-340.7644389,39.64613119,1.59792139,-0.000200053,5.555555556,0
0.72,3.944444444,-340.7659453,39.70166632,1.597910427,-0.000194753,5.555555556,0
0.73,4,-340.7674512,39.75720146,1.59789975,-0.000189654,5.555555556,0
0.74,4.055555556,-340.7689565,39.81273662,1.597889352,-0.000184665,5.555555556,0
0.75,4.111111111,-340.7704612,39.8682718,1.597879236,-0.000179055,5.555555556,0
0.76,4.166666667,-340.7719653,39.92380699,1.59786949,-0.000171821,5.555555556,0
0.77,4.222222222,-340.7734689,39.97934219,1.597860037,-0.000172722,5.555555556,0
0.78,4.277777778,-340.774972,40.03487741,1.597850168,-0.000182568,5.555555556,0
0.79,4.333333333,-340.7764745,40.09041264,1.597839912,-0.000183901,5.555555556,0
0.8,4.388888889,-340.7779765,40.14594789,1.597829771,-0.000181158,5.555555556,0
0.81,4.444444444,-340.7794779,40.20148316,1.597819763,-0.000179225,5.555555556,0
0.82,4.5,-340.7809787,40.25701844,1.597809857,-0.000177409,5.555555556,0
0.83,4.555555556,-340.782479,40.31255373,1.597800051,-0.000175625,5.555555556,0
0.84,4.611111111,-340.7839788,40.36808904,1.597790346,-0.000173489,5.555555556,0
0.85,4.666666667,-340.785478,40.42362436,1.597780793,-0.000170433,5.555555556,0
0.86,4.722222222,-340.7869767,40.4791597,1.597771336,-0.000172924,5.555555556,0
0.87,4.777777778,-340.7884748,40.53469505,1.59776149,-0.000181512,5.555555556,0
0.88,4.833333333,-340.7899725,40.59023042,1.597751346,-0.000180588,5.555555556,0
0.89,4.888888889,-340.7914695,40.6457658,1.597741466,-0.000175111,5.555555556,0
0.9,4.944444444,-340.792966,40.70130119,1.597731861,-0.000170786,5.555555556,0
0.91,5,-340.794462,40.7568366,1.597722489,-0.00016664,5.555555556,0
0.92,5.055555556,-340.7959574,40.81237203,1.597713341,-0.000162697,5.555555556,0
0.93,5.111111111,-340.7974524,40.86790747,1.597704417,-0.000158076,5.555555556,0
0.94,5.166666667,-340.7989469,40.92344292,1.597695812,-0.000151683,5.555555556,0
0.95,5.222222222,-340.8004409,40.97897838,1.597687434,-0.000155007,5.555555556,0
0.96,5.277777778,-340.8019344,41.03451386,1.597678434,-0.000169015,5.555555556,0
0.97,5.333333333,-340.8034274,41.09004935,1.597668924,-0.000168681,5.555555556,0
0.98,5.388888889,-340.8049199,41.14558485,1.597659753,-0.000161483,5.555555556,0
0.99,5.444444444,-340.8064119,41.20112037,1.597650942,-0.00015594,5.555555556,0
1,5.5,-340.8079034,41.2566559,1.597642426,-0.000150639,5.555555556,0
1.01,5.555555556,-340.8093944,41.31219144,1.597634202,-0.000145433,5.555555556,0
1.02,5.611111111,-340.810885,41.367727,1.597626272,-0.000139505,5.555555556,0
1.03,5.666666667,-340.8123752,41.42326257,1.597618739,-0.000131688,5.555555556,0
1.04,5.722222222,-340.8138649,41.47879814,1.597611513,-0.00013348,5.555555556,0
1.05,5.777777778,-340.8153543,41.53433373,1.597603754,-0.000145834,5.555555556,0
1.06,5.833333333,-340.8168432,41.58986933,1.59759552,-0.000146956,5.555555556,0
1.07,5.888888889,-340.8183316,41.64540495,1.597587474,-0.000142702,5.555555556,0
1.08,5.944444444,-340.8198196,41.70094057,1.597579637,-0.000139554,5.555555556,0
1.09,6,-340.8213072,41.75647621,1.597571968,-0.000136568,5.555555556,0
1.1,6.055555556,-340.8227943,41.81201185,1.597564461,-0.000133665,5.555555556,0
1.11,6.111111111,-340.8242811,41.86754751,1.59755712,-0.000130241,5.555555556,0
1.12,6.166666667,-340.8257674,41.92308318,1.597550017,-0.00012545,5.555555556,0
1.13,6.222222222,-340.8272533,41.97861886,1.597543081,-0.000128189,5.555555556,0
1.14,6.277777778,-340.8287389,42.03415455,1.597535654,-0.000139205,5.555555556,0
1.15,6.333333333,-340.830224,42.08969025,1.597527828,-0.000138835,5.555555556,0
1.16,6.388888889,-340.8317087,42.14522597,1.597520277,-0.000133016,5.555555556,0
1.17,6.444444444,-340.833193,42.20076169,1.597513017,-0.000128485,5.555555556,0
1.18,6.5,-340.8346769,42.25629742,1.597506,-0.000124147,5.555555556,0
1.19,6.555555556,-340.8361604,42.31183317,1.59749922,-0.000119939,5.555555556,0
1.2,6.611111111,-340.8376435,42.36736892,1.597492678,-0.000115097,5.555555556,0
1.21,6.666666667,-340.8391263,42.42290469,1.597486464,-0.000108598,5.555555556,0
1.22,6.722222222,-340.8406088,42.47844046,1.5974805,-0.000110529,5.555555556,0
1.23,6.777777778,-340.8420909,42.53397624,1.597474049,-0.000121728,5.555555556,0
1.24,6.833333333,-340.8435726,42.58951204,1.597467172,-0.00012243,5.555555556,0
1.25,6.888888889,-340.8450539,42.64504784,1.597460491,-0.000118108,5.555555556,0
1.26,6.944444444,-340.8465349,42.70058365,1.597454024,-0.000114826,5.555555556,0
1.27,7,-340.8480156,42.75611947,1.597447732,-0.000111701,5.555555556,0
1.28,7.055555556,-340.8494958,42.8116553,1.597441609,-0.000108707,5.555555556,0
1.29,7.111111111,-340.8509758,42.86719114,1.597435657,-0.000105158,5.555555556,0
1.3,7.166666667,-340.8524554,42.92272699,1.597429954,-0.000100152,5.555555556,0
1.31,7.222222222,-340.8539347,42.97826285,1.597424426,-0.000102958,5.555555556,0
1.32,7.277777778,-340.8554137,43.03379871,1.597418389,-0.000114352,5.555555556,0
1.33,7.333333333,-340.8568924,43.08933459,1.597411939,-0.000114087,5.555555556,0
1.34,7.388888889,-340.8583707,43.14487047,1.597405763,-0.000108243,5.555555556,0
1.35,7.444444444,-340.8598486,43.20040636,1.597399881,-0.000103665,5.555555556,0
1.36,7.5,-340.8613263,43.25594227,1.597394244,-9.93E-05,5.555555556,0
1.37,7.555555556,-340.8628036,43.31147818,1.597388845,-9.51E-05,5.555555556,0
1.38,7.611111111,-340.8642807,43.36701409,1.597383684,-9.02E-05,5.555555556,0
1.39,7.666666667,-340.8657574,43.42255002,1.597378861,-8.34E-05,5.555555556,0
1.4,7.722222222,-340.8672339,43.47808595,1.597374287,-8.62E-05,5.555555556,0
1.41,7.777777778,-340.8687102,43.53362189,1.59736913,-9.94E-05,5.555555556,0
1.42,7.833333333,-340.8701861,43.58915783,1.59736348,-9.98E-05,5.555555556,0
1.43,7.888888889,-340.8716618,43.64469379,1.597358098,-9.40E-05,5.555555556,0
1.44,7.944444444,-340.8731371,43.70022975,1.597353008,-8.94E-05,5.555555556,0
1.45,8,-340.8746122,43.75576572,1.597348159,-8.51E-05,5.555555556,0
1.46,8.055555556,-340.8760869,43.8113017,1.597343546,-8.10E-05,5.555555556,0
1.47,8.111111111,-340.8775615,43.86683768,1.59733917,-7.61E-05,5.555555556,0
1.48,8.166666667,-340.8790358,43.92237367,1.597335124,-6.95E-05,5.555555556,0
1.49,8.222222222,-340.8805099,43.97790967,1.597331328,-7.16E-05,5.555555556,0
1.5,8.277777778,-340.8819838,44.03344567,1.597327024,-8.33E-05,5.555555556,0
1.51,8.333333333,-340.8834574,44.08898168,1.59732228,-8.40E-05,5.555555556,0
1.52,8.388888889,-340.8849308,44.14451769,1.597317739,-7.95E-05,5.555555556,0
1.53,8.444444444,-340.8864039,44.20005371,1.597313423,-7.60E-05,5.555555556,0
1.54,8.5,-340.8878768,44.25558974,1.59730929,-7.27E-05,5.555555556,0
1.55,8.555555556,-340.8893494,44.31112577,1.597305338,-6.95E-05,5.555555556,0
1.56,8.611111111,-340.8908219,44.36666181,1.597301568,-6.58E-05,5.555555556,0
1.57,8.666666667,-340.8922941,44.42219786,1.59729805,-6.08E-05,5.555555556,0
1.58,8.722222222,-340.8937662,44.47773391,1.597294726,-6.22E-05,5.555555556,0
1.59,8.777777778,-340.895238,44.53326996,1.59729104,-7.05E-05,5.555555556,0
1.6,8.833333333,-340.8967097,44.58880602,1.597287034,-7.12E-05,5.555555556,0
1.61,8.888888889,-340.8981811,44.64434209,1.597283161,-6.83E-05,5.555555556,0
1.62,8.944444444,-340.8996523,44.69987816,1.597279434,-6.60E-05,5.555555556,0
1.63,9,-340.9011233,44.75541424,1.597275829,-6.38E-05,5.555555556,0
1.64,9.055555556,-340.9025942,44.81095032,1.597272341,-6.18E-05,5.555555556,0
1.65,9.111111111,-340.9040648,44.86648641,1.597268969,-5.93E-05,5.555555556,0
1.66,9.166666667,-340.9055352,44.9220225,1.597265773,-5.58E-05,5.555555556,0
1.67,9.222222222,-340.9070055,44.9775586,1.597262698,-5.79E-05,5.555555556,0
