time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,-362.0151865,-326.2374145,-1.536056087,8.17E-05,29.16666667,0.454338203
0.02,0.055555556,-362.0050525,-326.5289051,-1.536032308,7.91E-05,29.16666667,0.447047372
0.03,0.111111111,-361.9949117,-326.8203954,-1.536008792,8.59E-05,29.16666667,0.43974927
0.04,0.166666667,-361.9847636,-327.1118855,-1.535982407,8.98E-05,29.16666667,0.432443914
0.05,0.222222222,-361.9746078,-327.4033753,-1.535956526,8.89E-05,29.16666667,0.425131323
0.06,0.277777778,-361.9644445,-327.6948648,-1.535931194,8.76E-05,29.16666667,0.417811514
0.07,0.333333333,-361.9542737,-327.9863541,-1.535903801,9.92E-05,29.16666667,0.410484505
0.08,0.388888889,-361.9440946,-328.2778431,-1.535875547,9.59E-05,29.16666667,0.403150316
0.09,0.444444444,-361.9339074,-328.5693318,-1.535847616,9.60E-05,29.16666667,0.395808963
0.1,0.5,-361.923712,-328.8608202,-1.535819616,9.59E-05,29.16666667,0.388460465
0.11,0.555555556,-361.9135085,-329.1523084,-1.535791435,9.80E-05,29.16666667,0.38110484
0.12,0.611111111,-361.9032967,-329.4437962,-1.535763979,9.05E-05,29.16666667,0.373742106
0.13,0.666666667,-361.8930772,-329.7352838,-1.535737672,9.27E-05,29.16666667,0.366372281
0.14,0.722222222,-361.8828499,-330.0267711,-1.535709725,9.92E-05,29.16666667,0.358995384
0.15,0.777777778,-361.8726142,-330.3182581,-1.535681393,9.39E-05,29.16666667,0.351611433
0.16,0.833333333,-361.8623705,-330.6097448,-1.535654512,9.54E-05,29.16666667,0.344220446
0.17,0.888888889,-361.852119,-330.9012313,-1.53562803,8.40E-05,29.16666667,0.336822441
0.18,0.944444444,-361.8418602,-331.1927175,-1.535603742,8.58E-05,29.16666667,0.329417436
0.19,1,-361.8315942,-331.4842034,-1.535578954,8.50E-05,29.16666667,0.32200545
0.2,1.055555556,-361.8213209,-331.7756891,-1.535553864,8.38E-05,29.16666667,0.314586501
0.21,1.111111111,-361.8110405,-332.0671745,-1.53553004,8.42E-05,29.16666667,0.307160607
0.22,1.166666667,-361.8007531,-332.3586597,-1.535506196,7.62E-05,29.16666667,0.299727787
0.23,1.222222222,-361.7904592,-332.6501447,-1.535484363,8.11E-05,29.16666667,0.292288058
0.24,1.277777778,-361.7801589,-332.9416294,-1.535464062,5.81E-05,29.16666667,0.28484144
0.25,1.333333333,-361.7698532,-333.2331139,-1.535445893,6.34E-05,29.16666667,0.277387951
0.26,1.388888889,-361.7595422,-333.5245983,-1.535428284,6.08E-05,29.16666667,0.269927609
0.27,1.444444444,-361.749226,-333.8160825,-1.535410445,5.64E-05,29.16666667,0.262460432
0.28,1.5,-361.738905,-334.1075665,-1.535394935,5.80E-05,29.16666667,0.254986439
0.29,1.555555556,-361.7285795,-334.3990503,-1.535379978,4.07E-05,29.16666667,0.247505649
0.3,1.611111111,-361.7182502,-334.690534,-1.535367536,4.58E-05,29.16666667,0.240018079
0.31,1.666666667,-361.7079173,-334.9820176,-1.535357475,2.64E-05,29.16666667,0.232523749
0.32,1.722222222,-361.6975818,-335.2735011,-1.535348215,2.90E-05,29.16666667,0.225022676
0.33,1.777777778,-361.6872439,-335.5649845,-1.535340964,2.78E-05,29.16666667,0.21751488
0.34,1.833333333,-361.6769037,-335.8564678,-1.535333687,1.66E-05,29.16666667,0.210000379
0.35,1.888888889,-361.6665621,-336.147951,-1.535329796,2.11E-05,29.16666667,0.20247919
0.36,1.944444444,-361.6562193,-336.4394343,-1.535327072,-2.63E-06,29.16666667,0.194951334
0.37,2,-361.6458762,-336.7309175,-1.535325865,2.36E-06,29.16666667,0.187416828
0.38,2.055555556,-361.635533,-337.0224007,-1.535327782,-8.96E-06,29.16666667,0.179875691
0.39,2.111111111,-361.6251904,-337.3138839,-1.535329607,-1.30E-05,29.16666667,0.172327942
0.4,2.166666667,-361.6148489,-337.6053672,-1.535334924,-1.18E-05,29.16666667,0.1647736
0.41,2.222222222,-361.6045088,-337.8968505,-1.535340872,-3.42E-05,29.16666667,0.157212682
0.42,2.277777778,-361.5941713,-338.1883339,-1.535350872,-2.96E-05,29.16666667,0.149645208
0.43,2.333333333,-361.5838367,-338.4798175,-1.535361757,-4.13E-05,29.16666667,0.142071196
0.44,2.388888889,-361.5735053,-338.7713011,-1.535371977,-4.56E-05,29.16666667,0.134490665
0.45,2.444444444,-361.5631777,-339.0627848,-1.535389256,-6.30E-05,29.16666667,0.126903633
0.46,2.5,-361.5528552,-339.3542688,-1.535405996,-5.90E-05,29.16666667,0.11931012
0.47,2.555555556,-361.5425377,-339.6457529,-1.535422858,-5.17E-05,29.16666667,0.111710144
0.48,2.611111111,-361.5322253,-339.9372372,-1.53544234,-8.30E-05,29.16666667,0.104103724
0.49,2.666666667,-361.5219191,-340.2287217,-1.535463962,-7.61E-05,29.16666667,0.096490879
0.5,2.722222222,-361.5116195,-340.5202065,-1.535489632,-9.35E-05,29.16666667,0.088871627
0.51,2.777777778,-361.5013276,-340.8116915,-1.535515475,-9.26E-05,29.16666667,0.081245987
0.52,2.833333333,-361.4910436,-341.1031768,-1.535543535,-9.13E-05,29.16666667,0.073613978
0.53,2.888888889,-361.4807677,-341.3946624,-1.535572015,-0.000108071,29.16666667,0.06597562
0.54,2.944444444,-361.4705007,-341.6861483,-1.53560331,-0.00010361,29.16666667,0.058330929
0.55,3,-361.4602429,-341.9776346,-1.535635975,-0.000117075,29.16666667,0.050679927
0.56,3.055555556,-361.4499946,-342.2691211,-1.535668387,-0.000118816,29.16666667,0.043022631
