time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,-271.371805130931,491.427376965479,1.00716840725082,4.44089305803155e-15,2,0
0.02,0.02,-271.361120001549,491.444283414251,1.00716840648806,-7.62762262241293e-08,2,0
0.03,0.04,-271.350434872141,491.461189863008,1.00716840419977,-1.52552456889152e-07,2,0
0.04,0.06,-271.339749742682,491.478096311731,1.00716840038596,-2.28828687554174e-07,2,0
0.05,0.08,-271.329064613146,491.495002760406,1.00716839504663,-3.05104918219196e-07,2,0
0.06,0.1,-271.318379483506,491.511909209015,1.00716838818177,-3.81381144442983e-07,2,0
0.07,0.12,-271.307694353743,491.528815657546,1.00716838075857,-3.60938670063056e-07,2,0
0.08,0.14,-271.297009223858,491.545722106001,1.00716837374422,-3.4049619568313e-07,2,0
0.09,0.16,-271.286324093857,491.562628554382,1.00716836713872,-3.20053721303203e-07,2,0
0.1,0.18,-271.275638963749,491.579535002695,1.00716836094207,-2.99611246923277e-07,2,0
0.11,0.2,-271.264953833539,491.596441450944,1.00716835515427,-2.79168776984292e-07,2,0
0.12,0.22,-271.254268703233,491.613347899133,1.00716834951607,-2.84650911730451e-07,2,0
0.13,0.24,-271.243583572831,491.63025434726,1.00716834376823,-2.9013304647661e-07,2,0
0.14,0.26,-271.232898442331,491.647160795326,1.00716833791075,-2.95615181222769e-07,2,0
0.15,0.28,-271.222213311731,491.664067243328,1.00716833194363,-3.01097315968928e-07,2,0
0.16,0.3,-271.211528181029,491.680973691266,1.00716832586686,-3.06579450715079e-07,2,0
0.17,0.32,-271.200843050224,491.697880139139,1.00716831974998,-3.05108560638675e-07,2,0
0.18,0.34,-271.190157919315,491.714786586947,1.00716831366252,-3.0363767056227e-07,2,0
0.19,0.36,-271.179472788304,491.73169303469,1.00716830760447,-3.02166780485865e-07,2,0
0.2,0.38,-271.168787657191,491.748599482368,1.00716830157585,-3.00695890409461e-07,2,0
0.21,0.4,-271.158102525976,491.765505929982,1.00716829557664,-2.99225000333056e-07,2,0
0.22,0.42,-271.14741739466,491.782412377532,1.00716828958818,-2.99620659838293e-07,2,0
0.23,0.44,-271.136732263243,491.799318825017,1.00716828359181,-3.00016319343452e-07,2,0
0.24,0.46,-271.126047131724,491.816225272439,1.00716827758753,-3.00411978848611e-07,2,0
0.25,0.48,-271.115362000103,491.833131719797,1.00716827157533,-3.0080763835377e-07,2,0
0.26,0.5,-271.104676868381,491.85003816709,1.00716826555522,-3.01203306740598e-07,2,0
0.27,0.52,-271.093991736557,491.866944614319,1.00716825953225,-3.01093674437362e-07,2,0
0.28,0.54,-271.083306604632,491.883851061483,1.00716825351147,-3.00984042134127e-07,2,0
0.29,0.56,-271.072621472604,491.900757508584,1.00716824749289,-3.00874409830891e-07,2,0
0.3,0.58,-271.061936340475,491.91766395562,1.0071682414765,-3.00764777527655e-07,2,0
0.31,0.6,-271.051251208244,491.934570402591,1.0071682354623,-3.0065514522442e-07,2,0
0.32,0.62,-271.040566075911,491.951476849499,1.00716822944888,-3.00686479270938e-07,2,0
0.33,0.64,-271.029880943477,491.968383296342,1.00716822343484,-3.00717808876515e-07,2,0
0.34,0.66,-271.019195810941,491.985289743121,1.00716821742017,-3.00749138482091e-07,2,0
0.35,0.68,-271.008510678303,492.002196189836,1.00716821140487,-3.00780468087668e-07,2,0
0.36,0.7,-270.997825545564,492.019102636486,1.00716820538895,-3.00811797693244e-07,2,0
0.37,0.72,-270.987140412722,492.036009083072,1.00716819937278,-3.00805518271551e-07,2,0
0.38,0.74,-270.97645527978,492.052915529594,1.00716819335673,-3.00799243291016e-07,2,0
0.39,0.76,-270.965770146735,492.069821976051,1.00716818734081,-3.00792968310481e-07,2,0
0.4,0.78,-270.955085013589,492.086728422444,1.00716818132501,-3.00786693329946e-07,2,0
0.41,0.8,-270.944399880341,492.103634868773,1.00716817530934,-3.00780418349411e-07,2,0
0.42,0.82,-270.933714746991,492.120541315038,1.00716816929374,-3.00779959162449e-07,2,0
0.43,0.84,-270.92302961354,492.137447761238,1.00716816327814,-3.00779495533314e-07,2,0
0.44,0.86,-270.912344479987,492.154354207374,1.00716815726256,-3.00779031904179e-07,2,0
0.45,0.88,-270.901659346332,492.171260653446,1.00716815124698,-3.00778568275044e-07,2,0
0.46,0.9,-270.890974212575,492.188167099454,1.00716814523141,-3.00778109086816e-07,2,0
0.47,0.92,-270.880289078717,492.205073545397,1.00716813921587,-3.00776822116286e-07,2,0
0.48,0.94,-270.869603944757,492.221979991276,1.00716813320034,-3.00775535145756e-07,2,0
0.49,0.96,-270.858918810696,492.238886437091,1.00716812718484,-3.00774248175225e-07,2,0
0.5,0.98,-270.848233676533,492.255792882842,1.00716812116937,-3.00772961204695e-07,2,0
0.51,1,-270.837548542267,492.272699328528,1.00716811515393,-3.00771674233388e-07,2,0
0.52,1.02,-270.826863407901,492.28960577415,1.00716810913846,-3.00775162110042e-07,2,0
0.53,1.04,-270.816178273432,492.306512219708,1.00716810312292,-3.00778649986697e-07,2,0
0.54,1.06,-270.805493138862,492.323418665201,1.00716809710731,-3.00782137863351e-07,2,0
0.55,1.08,-270.794808004191,492.34032511063,1.00716809109163,-3.00785625740005e-07,2,0
0.56,1.1,-270.784122869417,492.357231555995,1.00716808507589,-3.00789118056249e-07,2,0
0.57,1.12,-270.773437734542,492.374138001295,1.00716807906015,-3.00784337879995e-07,2,0
0.58,1.14,-270.762752599565,492.391044446532,1.00716807304451,-3.0077955770374e-07,2,0
0.59,1.16,-270.752067464486,492.407950891704,1.00716806702897,-3.00774777527485e-07,2,0
0.6,1.18,-270.741382329306,492.424857336811,1.00716806101352,-3.0076999735123e-07,2,0
0.61,1.2,-270.730697194024,492.441763781854,1.00716805499817,-3.00765217176005e-07,2,0
0.62,1.22,-270.720012058641,492.458670226833,1.00716804898267,-3.00784492424069e-07,2,0
0.63,1.24,-270.709326923155,492.475576671748,1.00716804296679,-3.00803767672133e-07,2,0
0.64,1.26,-270.698641787568,492.492483116599,1.00716803695052,-3.00823042920198e-07,2,0
0.65,1.28,-270.687956651879,492.509389561385,1.00716803093387,-3.00842318168262e-07,2,0
0.66,1.3,-270.677271516089,492.526296006107,1.00716802491683,-3.0086159341635e-07,2,0
0.67,1.32,-270.666586380197,492.543202450765,1.00716801890047,-3.00774095407512e-07,2,0
0.68,1.34,-270.655901244203,492.560108895358,1.00716801288586,-3.00686597398674e-07,2,0
0.69,1.36,-270.645216108107,492.577015339887,1.00716800687301,-3.00599099389835e-07,2,0
0.7,1.38,-270.63453097191,492.593921784352,1.0071680008619,-3.00511601380997e-07,2,0
0.71,1.4,-270.623845835611,492.610828228753,1.00716799485254,-3.00424098931308e-07,2,0
0.72,1.42,-270.61316069921,492.62773467309,1.00716798884076,-3.00754818383132e-07,2,0
0.73,1.44,-270.602475562708,492.644641117362,1.00716798282235,-3.01085537834957e-07,2,0
0.74,1.46,-270.591790426104,492.66154756157,1.00716797679733,-3.01416257286781e-07,2,0
0.75,1.48,-270.581105289398,492.678454005713,1.0071679707657,-3.01746976738605e-07,2,0
0.76,1.5,-270.57042015259,492.695360449792,1.00716796472745,-3.02077687308438e-07,2,0
0.77,1.52,-270.55973501568,492.712266893807,1.00716795869799,-3.00869024805023e-07,2,0
0.78,1.54,-270.549049878668,492.729173337757,1.00716795269269,-2.99660362301609e-07,2,0
0.79,1.56,-270.538364741555,492.746079781643,1.00716794671157,-2.98451699798194e-07,2,0
0.8,1.58,-270.527679604341,492.762986225465,1.00716794075463,-2.97243037294779e-07,2,0
0.81,1.6,-270.516994467027,492.779892669224,1.00716793482185,-2.9603436590991e-07,2,0
0.82,1.62,-270.506309329612,492.796799112919,1.00716792885641,-3.0050947685839e-07,2,0
0.83,1.64,-270.495624192096,492.813705556551,1.00716792280147,-3.0498458780687e-07,2,0
0.84,1.66,-270.484939054476,492.830612000117,1.00716791665703,-3.0945969875535e-07,2,0
0.85,1.68,-270.474253916752,492.847518443616,1.00716791042309,-3.13934809703829e-07,2,0
0.86,1.7,-270.463568778921,492.864424887049,1.00716790409964,-3.18409916211053e-07,2,0
0.87,1.72,-270.452883640984,492.881331330415,1.00716789789828,-3.01726029938531e-07,2,0
0.88,1.74,-270.442198502946,492.898237773716,1.0071678920306,-2.85042143666008e-07,2,0
0.89,1.76,-270.43151336481,492.915144216956,1.00716788649659,-2.68358257393485e-07,2,0
0.9,1.78,-270.420828226584,492.932050660138,1.00716788129627,-2.51674371120963e-07,2,0
0.91,1.8,-270.410143088273,492.948957103267,1.00716787642962,-2.34990484849559e-07,2,0
0.92,1.82,-270.399457949878,492.965863546343,1.00716787109761,-2.98210410144328e-07,2,0
0.93,1.84,-270.388772811382,492.982769989355,1.0071678645012,-3.61430335439098e-07,2,0
0.94,1.86,-270.378087672764,492.99967643229,1.00716785664039,-4.24650260733868e-07,2,0
0.95,1.88,-270.367402534002,493.016582875135,1.00716784751519,-4.87870186028638e-07,2,0
0.96,1.9,-270.356717395076,493.033489317874,1.00716783712559,-5.51090106882057e-07,2,0
0.97,1.92,-270.346032255964,493.050395760498,1.00716782582074,-5.79394705546927e-07,2,0
0.98,1.94,-270.335347116658,493.067302202997,1.0071678139498,-6.07699304211797e-07,2,0
0.99,1.96,-270.324661977145,493.084208645367,1.00716780151277,-6.36003902876667e-07,2,0
1,1.98,-270.313976837418,493.101115087601,1.00716778850964,-6.64308501541537e-07,2,0
1.01,2,-270.303291697465,493.118021529693,1.00716777494043,-6.92613091323796e-07,2,0
1.02,2.02,-270.292606557282,493.134927971638,1.0071677613352,-6.67909510809267e-07,2,0
1.03,2.04,-270.281921416873,493.151834413441,1.00716774822405,-6.43205930294738e-07,2,0
1.04,2.06,-270.271236276246,493.168740855107,1.00716773560696,-6.18502349780209e-07,2,0
1.05,2.08,-270.260551135411,493.18564729664,1.00716772348395,-5.93798769265679e-07,2,0
1.06,2.1,-270.249865994374,493.202553738047,1.00716771185501,-5.6909518431075e-07,2,0
1.07,2.12,-270.239180853144,493.219460179331,1.00716770057812,-5.58593765909211e-07,2,0
1.08,2.14,-270.228495711726,493.236366620496,1.00716768951126,-5.48092347507673e-07,2,0
1.09,2.16,-270.217810570122,493.253273061543,1.00716767865443,-5.37590929106134e-07,2,0
1.1,2.18,-270.207125428336,493.270179502476,1.00716766800763,-5.27089510704595e-07,2,0
1.11,2.2,-270.196440286372,493.287085943297,1.00716765757085,-5.16588083420955e-07,2,0
1.12,2.22,-270.185755144233,493.303992384007,1.00716764738216,-5.02281029212942e-07,2,0
1.13,2.24,-270.175070001925,493.320898824609,1.00716763747961,-4.87973975004929e-07,2,0
1.14,2.26,-270.164384859452,493.337805265108,1.0071676278632,-4.73666920796916e-07,2,0
1.15,2.28,-270.153699716818,493.354711705505,1.00716761853293,-4.59359866588903e-07,2,0
1.16,2.3,-270.14301457403,493.371618145804,1.0071676094888,-4.45052807940094e-07,2,0
1.17,2.32,-270.13232943109,493.388524586008,1.00716760072056,-4.31771298714345e-07,2,0
1.18,2.34,-270.121644288005,493.405431026119,1.00716759221795,-4.18489789488596e-07,2,0
1.19,2.36,-270.110959144778,493.422337466142,1.00716758398097,-4.05208280262847e-07,2,0
1.2,2.38,-270.100274001414,493.439243906077,1.00716757600962,-3.91926771037098e-07,2,0
1.21,2.4,-270.089588857918,493.456150345929,1.0071675683039,-3.78645257370554e-07,2,0
1.22,2.42,-270.078903714294,493.4730567857,1.00716756086666,-3.65078733466274e-07,2,0
1.23,2.44,-270.068218570546,493.489963225393,1.00716755370075,-3.51512209561993e-07,2,0
1.24,2.46,-270.057533426679,493.50686966501,1.00716754680617,-3.37945685657712e-07,2,0
1.25,2.48,-270.046848282698,493.523776104556,1.00716754018292,-3.24379161753431e-07,2,0
1.26,2.5,-270.036163138608,493.540682544032,1.00716753383101,-3.10812628967311e-07,2,0
1.27,2.52,-270.025477994412,493.557588983442,1.00716752774956,-2.97332396037401e-07,2,0
1.28,2.54,-270.014792850116,493.574495422788,1.00716752193771,-2.83852163107491e-07,2,0
1.29,2.56,-270.004107705724,493.591401862074,1.00716751639547,-2.70371930177581e-07,2,0
1.3,2.58,-269.99342256124,493.608308301302,1.00716751112283,-2.56891697247671e-07,2,0
1.31,2.6,-269.982737416669,493.625214740475,1.0071675061198,-2.43411459876845e-07,2,0
1.32,2.62,-269.972052272017,493.642121179595,1.00716750138669,-2.29899300485463e-07,2,0
1.33,2.64,-269.961367127286,493.659027618667,1.00716749692383,-2.16387141094081e-07,2,0
1.34,2.66,-269.950681982482,493.675934057693,1.00716749273121,-2.02874981702699e-07,2,0
1.35,2.68,-269.93999683761,493.692840496675,1.00716748880883,-1.89362822311317e-07,2,0
1.36,2.7,-269.929311692674,493.709746935617,1.0071674851567,-1.75850662919925e-07,2,0
1.37,2.72,-269.918626547678,493.726653374521,1.00716748177464,-1.62355332733241e-07,2,0
1.38,2.74,-269.907941402627,493.74355981339,1.00716747866248,-1.48860002546557e-07,2,0
1.39,2.76,-269.897256257526,493.760466252228,1.00716747582024,-1.35364672359873e-07,2,0
1.4,2.78,-269.886571112379,493.777372691036,1.0071674732479,-1.21869342173189e-07,2,0
1.41,2.8,-269.875885967191,493.794279129819,1.00716747094546,-1.08374011986508e-07,2,0
1.42,2.82,-269.865200821967,493.811185568579,1.00716746891304,-9.48678744448128e-08,2,0
1.43,2.84,-269.85451567671,493.828092007318,1.00716746715075,-8.13617369031171e-08,2,0
