time,arclength,x,y,yaw,kappa,speed,accel
0,0,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.01,0.01,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.02,0.02,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.03,0.03,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.04,0.04,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.05,0.05,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.06,0.06,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.07,0.07,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.08,0.08,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.09,0.09,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.1,0.1,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.11,0.11,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.12,0.12,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.13,0.13,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.14,0.14,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.15,0.15,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.16,0.16,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.17,0.17,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.18,0.18,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.19,0.19,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.2,0.2,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.21,0.21,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.22,0.22,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.23,0.23,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.24,0.24,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.25,0.25,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.26,0.26,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.27,0.27,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.28,0.28,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.29,0.29,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.3,0.3,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.31,0.31,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.32,0.32,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.33,0.33,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.34,0.34,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.35,0.35,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.36,0.36,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.37,0.37,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.38,0.38,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.39,0.39,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.4,0.4,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.41,0.41,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.42,0.42,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.43,0.43,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.44,0.44,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.45,0.45,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.46,0.46,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.47,0.47,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.48,0.48,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.49,0.49,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.5,0.5,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.51,0.51,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.52,0.52,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.53,0.53,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.54,0.54,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.55,0.55,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.56,0.56,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.57,0.57,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.58,0.58,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.59,0.59,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.6,0.6,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.61,0.61,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.62,0.62,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.63,0.63,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.64,0.64,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.65,0.65,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.66,0.66,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.67,0.67,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.68,0.68,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.69,0.69,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.7,0.7,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.71,0.71,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.72,0.72,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.73,0.73,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.74,0.74,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.75,0.75,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.76,0.76,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.77,0.77,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.78,0.78,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.79,0.79,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.8,0.8,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.81,0.81,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.82,0.82,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.83,0.83,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.84,0.84,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.85,0.85,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.86,0.86,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.87,0.87,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.88,0.88,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.89,0.89,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.9,0.9,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.91,0.91,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.92,0.92,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.93,0.93,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.94,0.94,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.95,0.95,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.96,0.96,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.97,0.97,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.98,0.98,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
0.99,0.99,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1,1,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.01,1.01,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.02,1.02,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.03,1.03,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.04,1.04,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.05,1.05,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.06,1.06,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.07,1.07,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.08,1.08,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.09,1.09,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.1,1.1,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.11,1.11,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.12,1.12,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.13,1.13,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.14,1.14,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.15,1.15,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.16,1.16,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.17,1.17,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.18,1.18,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.19,1.19,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.2,1.2,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.21,1.21,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.22,1.22,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.23,1.23,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.24,1.24,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.25,1.25,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.26,1.26,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.27,1.27,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.28,1.28,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.29,1.29,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.3,1.3,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.31,1.31,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.32,1.32,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.33,1.33,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.34,1.34,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.35,1.35,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.36,1.36,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.37,1.37,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.38,1.38,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.39,1.39,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.4,1.4,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.41,1.41,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.42,1.42,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.43,1.43,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.44,1.44,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.45,1.45,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.46,1.46,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.47,1.47,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.48,1.48,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.49,1.49,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.5,1.5,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.51,1.51,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.52,1.52,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.53,1.53,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.54,1.54,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.55,1.55,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.56,1.56,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.57,1.57,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.58,1.58,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.59,1.59,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.6,1.6,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.61,1.61,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.62,1.62,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.63,1.63,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.64,1.64,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.65,1.65,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.66,1.66,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.67,1.67,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.68,1.68,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.69,1.69,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.7,1.7,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.71,1.71,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.72,1.72,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.73,1.73,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
1.74,1.74,236.526597797252,622.904532246888,-2.52872821404116,0,0,0
