time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,167.426961897783,1758.81062827678,-1.552179270339,4.44088389286925e-15,0,0
0.02,3.14159035682906e-07,167.426961903632,1758.81062796268,-1.552179270339,1.38669815757705e-11,6.28318071365812e-05,0.00628318071365812
0.03,1.5707938003593e-06,167.426961927025,1758.81062670626,-1.552179270339,6.93170835353954e-11,0.000188495145798698,0.0125663338662116
0.04,4.39821685318012e-06,167.42696197966,1758.81062387933,-1.552179270339,1.94079584915247e-10,0.000376989464765466,0.0188494318966769
0.05,9.42473386305037e-06,167.426962073234,1758.81061885368,-1.552179270339,4.15879019829711e-10,0.000628313937208585,0.0251324472443118
0.06,1.72786408525731e-05,167.426962219442,1758.81061100113,-1.55217927033899,7.62439496741707e-10,0.000942467460695958,0.0314153523487374
0.07,2.85882214420356e-05,167.426962429981,1758.81059969351,-1.55217927033898,1.26148457685119e-09,0.00131944865719654,0.0376981196500578
0.08,4.398174409345e-05,167.426962716547,1758.81058430266,-1.55217927033896,1.94073715248603e-09,0.00175925587308636,0.043980721588982
0.09,6.40874593546608e-05,167.426963090834,1758.81056420043,-1.55217927033891,2.82791932549588e-09,0.0022618871791558,0.0502631306069441
0.1,8.953359710353e-05,167.426963564539,1758.8105387587,-1.55217927033882,3.95075228564944e-09,0.00282734037061804,0.0565453191462245
0.11,0.000120948363792214,167.426964149356,1758.81050734938,-1.55217927033868,5.33695618903575e-09,0.00345561296711875,0.0628272596500709
0.12,0.000158959939691542,167.426964856978,1758.81046934439,-1.55217927033844,7.01425003647006e-09,0.00414670221274694,0.0691089245628187
0.13,0.000204196476135512,167.426965699101,1758.81042411569,-1.55217927033808,9.01035155190472e-09,0.00490060507604706,0.0753902863300124
0.14,0.000257286092765909,167.426966687416,1758.81037103527,-1.55217927033754,1.13529770608457e-08,0.00571731825003233,0.0816713173985263
0.15,0.000318856874777067,167.426967833617,1758.81030947516,-1.55217927033676,1.4069841368775e-08,0.00659683815219918,0.087951990216685
0.16,0.000389536870160778,167.426969149394,1758.81023880741,-1.55217927033565,1.71886576395805e-08,0.00753916092454303,0.0942322772343849
0.17,0.000469954086951369,167.42697064644,1758.81015840413,-1.55217927033413,2.07371372739919e-08,0.00854428243357517,0.100512150903214
0.18,0.000560736490470949,167.426972336443,1758.81006763746,-1.55217927033206,2.47429897880252e-08,0.00961219827034092,0.106791583676575
0.19,0.000662512000574849,167.426974231094,1758.80996587959,-1.55217927032932,2.92339226914352e-08,0.010742903750439,0.113070548009804
