time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,49.2790581323073,-168.297945195703,-0.581632401944862,-2.24212973992357e-15,0,3
0.02,0.00015,49.2791834673485,-168.298027604001,-0.581632397707974,5.64918277308876e-05,0.03,3
0.03,0.0006,49.2795594724791,-168.298274828882,-0.581632334154669,0.000225967310930277,0.06,3
0.04,0.00135,49.2801861477618,-168.298686870251,-0.581632058757009,0.000508426449595925,0.09,3
0.05,0.0024,49.2810634934412,-168.299263727737,-0.581631317301769,0.000903869243727834,0.12,3
0.06,0.00375,49.2821915101527,-168.300005400372,-0.581629753890436,0.001412295693326,0.15,3
0.07,0.0054,49.283570199216,-168.300911886151,-0.581626910939207,0.00203370579839043,0.18,3
0.08,0.00735,49.2851995630125,-168.30198318145,-0.581622229178983,0.00276809955892112,0.21,3
0.09,0.0096,49.2870796054454,-168.303219280334,-0.581615047655383,0.00361547697491806,0.24,3
0.1,0.01215,49.2892103324853,-168.304620173721,-0.58160460372873,0.00457583804638127,0.27,3
0.11,0.015,49.2915917527974,-168.306185848431,-0.581590033074061,0.00564918277331073,0.3,3
0.12,0.01815,49.2942238784544,-168.3079162861,-0.581570369681124,0.00683551115570646,0.33,3
0.13,0.0216,49.2971067257315,-168.309811461969,-0.581544545854371,0.00813482319356844,0.36,3
0.14,0.02535,49.3002403159855,-168.311871343548,-0.58151139221297,0.00954711888689668,0.39,3
0.15,0.0294,49.303624676617,-168.314095889145,-0.581469637690796,0.0110723982356912,0.42,3
0.16,0.03375,49.3072598421159,-168.316485046275,-0.581417909536437,0.012710661239952,0.45,3
0.17,0.0384,49.3111458551893,-168.319038749935,-0.581354733313187,0.014461907899679,0.48,3
0.18,0.04335,49.3152827679724,-168.321756920757,-0.581278532899054,0.0163261382148722,0.51,3
0.19,0.0486,49.3196706433208,-168.324639463021,-0.581187630486752,0.0183033521855318,0.54,3
0.2,0.05415,49.324309556185,-168.327686262557,-0.58108024658371,0.0203935498116576,0.57,3
0.21,0.06,49.3291995950655,-168.330897184496,-0.580954500012064,0.0225967310932496,0.6,3
0.22,0.06615,49.3343408635478,-168.334272070913,-0.580808407908659,0.024912896030308,0.63,3
0.23,0.0726,49.3397334819176,-168.33781073832,-0.580639885725052,0.0273420446228326,0.66,3
0.24,0.07935,49.3453775888531,-168.341512975044,-0.580446747227512,0.0298841768708234,0.69,3
0.25,0.0864,49.3512733431954,-168.345378538462,-0.580226704497012,0.0325392927742805,0.72,3
0.26,0.09375,49.3574209257946,-168.349407152107,-0.579977367929242,0.0353073923332038,0.75,3
0.27,0.1014,49.3638205413106,-168.353598502828,-0.57969671039546,0.0375253811511504,0.78,3
0.28,0.10935,49.3704723854653,-168.357952290705,-0.57940144994757,0.036753976808455,0.81,3
0.29,0.1176,49.3773765870108,-168.362468317777,-0.579101531758905,0.035953462867922,0.84,3
0.3,0.12615,49.3845332631993,-168.367146403429,-0.578797676292011,0.0351238393295515,0.87,3
0.31,0.135,49.3919425297537,-168.371986369184,-0.578490630208073,0.0342651061933434,0.9,3
0.32,0.14415,49.3996045002579,-168.376988039637,-0.57818116636691,0.0333772634592977,0.93,3
0.33,0.1536,49.4075192855273,-168.382151243432,-0.577870083826989,0.0324603111274144,0.96,3
