time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,264.7474286,-191.3267238,2.226289337,1.02194186239964e-14,13.88888889,0
0.02,0.138888889,264.6627747,-191.2166155,2.226141065,-0.001529384,13.88888889,0
0.03,0.277777778,264.5781418,-191.1064911,2.225955168,-0.001345596,13.88888889,0
0.04,0.416666667,264.4935292,-190.996351,2.225766769,-0.001343165,13.88888889,0
0.05,0.555555556,264.4089373,-190.8861951,2.225580379,-0.001339873,13.88888889,0
0.06,0.694444444,264.3243659,-190.7760234,2.225393934,-0.001350024,13.88888889,0
0.07,0.833333333,264.2398151,-190.6658359,2.22520572,-0.001362048,13.88888889,0
0.08,0.972222222,264.1552852,-190.5556323,2.225015831,-0.001362901,13.88888889,0
0.09,1.111111111,264.0707761,-190.4454128,2.224827605,-0.001350777,13.88888889,0
0.1,1.25,263.9862878,-190.3351774,2.224638506,-0.001369194,13.88888889,0
0.11,1.388888889,263.9018205,-190.2249259,2.224447217,-0.001388866,13.88888889,0
0.12,1.527777778,263.8173743,-190.1146582,2.224255355,-0.001371295,13.88888889,0
0.13,1.666666667,263.7329492,-190.0043744,2.224065344,-0.001376468,13.88888889,0
0.14,1.805555556,263.6485451,-189.8940745,2.22387272,-0.001395107,13.88888889,0
0.15,1.944444444,263.5641624,-189.7837581,2.223677321,-0.001410901,13.88888889,0
0.16,2.083333333,263.4798014,-189.6734253,2.223482266,-0.001394809,13.88888889,0
0.17,2.222222222,263.3954617,-189.5630761,2.223288183,-0.001402019,13.88888889,0
0.18,2.361111111,263.3111435,-189.4527105,2.223093188,-0.001409224,13.88888889,0
0.19,2.5,263.2268469,-189.3423284,2.222897946,-0.001393825,13.88888889,0
0.2,2.638888889,263.1425717,-189.23193,2.222704666,-0.001397577,13.88888889,0
0.21,2.777777778,263.058318,-189.1215151,2.222508567,-0.001422896,13.88888889,0
0.22,2.916666667,262.9740861,-189.0110836,2.222308958,-0.001448887,13.88888889,0
0.23,3.055555556,262.8898764,-188.9006353,2.222108538,-0.00143307,13.88888889,0
0.24,3.194444444,262.8056887,-188.7901701,2.221910007,-0.001434587,13.88888889,0
0.25,3.333333333,262.721523,-188.6796882,2.221710559,-0.001439347,13.88888889,0
0.26,3.472222222,262.6373793,-188.5691895,2.221510398,-0.001433233,13.88888889,0
0.27,3.611111111,262.5532577,-188.458674,2.221312268,-0.001425382,13.88888889,0
0.28,3.75,262.469158,-188.3481418,2.221112336,-0.001450638,13.88888889,0
0.29,3.888888889,262.3850806,-188.2375927,2.220909263,-0.001477007,13.88888889,0
0.3,4.027777778,262.3010257,-188.1270263,2.220704651,-0.001464544,13.88888889,0
0.31,4.166666667,262.2169934,-188.0164429,2.220502182,-0.001461877,13.88888889,0
0.32,4.305555556,262.1329835,-187.9058425,2.220298335,-0.001471423,13.88888889,0
0.33,4.444444444,262.0489963,-187.7952248,2.220092898,-0.001477531,13.88888889,0
0.34,4.583333333,261.9650317,-187.6845899,2.219889013,-0.001461058,13.88888889,0
0.35,4.722222222,261.8810897,-187.573938,2.219684779,-0.001482312,13.88888889,0
0.36,4.861111111,261.7971704,-187.4632688,2.219477696,-0.001503401,13.88888889,0
0.37,5,261.7132742,-187.352582,2.219268511,-0.001499498,13.88888889,0
0.38,5.138888889,261.629401,-187.2418779,2.219061474,-0.001490541,13.88888889,0
0.39,5.277777778,261.5455508,-187.1311563,2.218853222,-0.001504839,13.88888889,0
0.4,5.416666667,261.4617237,-187.0204172,2.218643061,-0.001519268,13.88888889,0
0.41,5.555555556,261.37792,-186.9096605,2.218433159,-0.001503835,13.88888889,0
0.42,5.694444444,261.2941394,-186.7988862,2.218224172,-0.00151307,13.88888889,0
0.43,5.833333333,261.2103821,-186.6880943,2.218013325,-0.001525058,13.88888889,0
0.44,5.972222222,261.1266482,-186.5772848,2.217800782,-0.00152545,13.88888889,0
0.45,6.111111111,261.0429378,-186.4664574,2.217589998,-0.001513399,13.88888889,0
0.46,6.25,260.9592508,-186.3556125,2.217378294,-0.001532107,13.88888889,0
0.47,6.388888889,260.8755874,-186.2447497,2.217164358,-0.001552044,13.88888889,0
0.48,6.527777778,260.7919478,-186.133869,2.216949788,-0.001535132,13.88888889,0
0.49,6.666666667,260.7083318,-186.0229704,2.216737028,-0.00153938,13.88888889,0
0.5,6.805555556,260.6247396,-185.9120539,2.216521959,-0.001555536,13.88888889,0
0.51,6.944444444,260.5411713,-185.8011194,2.216304337,-0.00156788,13.88888889,0
0.52,7.083333333,260.4576272,-185.6901667,2.216087925,-0.001548823,13.88888889,0
0.53,7.222222222,260.374107,-185.5791959,2.215871801,-0.001565997,13.88888889,0
0.54,7.361111111,260.290611,-185.4682071,2.215653394,-0.001582507,13.88888889,0
0.55,7.5,260.2071393,-185.3571999,2.215433409,-0.001576896,13.88888889,0
0.56,7.638888889,260.1236919,-185.2461744,2.215215328,-0.001570993,13.88888889,0
0.57,7.777777778,260.0402688,-185.1351307,2.214995953,-0.001584871,13.88888889,0
0.58,7.916666667,259.9568701,-185.0240686,2.214774635,-0.001599551,13.88888889,0
0.59,8.055555556,259.8734961,-184.912988,2.214553777,-0.001582205,13.88888889,0
0.6,8.194444444,259.7901464,-184.8018891,2.214333791,-0.0015937,13.88888889,0
0.61,8.333333333,259.7068214,-184.6907718,2.214111598,-0.001608182,13.88888889,0
0.62,8.472222222,259.6235212,-184.5796359,2.213887368,-0.001608653,13.88888889,0
0.63,8.611111111,259.5402458,-184.4684813,2.213665209,-0.001594673,13.88888889,0
0.64,8.75,259.4569951,-184.3573083,2.213441981,-0.001616456,13.88888889,0
0.65,8.888888889,259.3737694,-184.2461165,2.213216179,-0.001638554,13.88888889,0
0.66,9.027777778,259.2905689,-184.1349059,2.212989374,-0.001624026,13.88888889,0
0.67,9.166666667,259.2073934,-184.0236766,2.212764455,-0.00162483,13.88888889,0
0.68,9.305555556,259.1242431,-183.9124284,2.212537819,-0.001636799,13.88888889,0
0.69,9.444444444,259.0411181,-183.8011614,2.212309251,-0.001645368,13.88888889,0
0.7,9.583333333,258.9580185,-183.6898753,2.21208197,-0.001629038,13.88888889,0
0.71,9.722222222,258.8749442,-183.5785704,2.211854687,-0.001645999,13.88888889,0
0.72,9.861111111,258.7918953,-183.4672466,2.211625149,-0.001663203,13.88888889,0
0.73,10,258.708872,-183.3559036,2.211394122,-0.001653632,13.88888889,0
0.74,10.13888889,258.6258744,-183.2445415,2.211165322,-0.001649746,13.88888889,0
0.75,10.27777778,258.5429023,-183.1331604,2.210934622,-0.001668858,13.88888889,0
0.76,10.41666667,258.4599561,-183.02176,2.210701317,-0.001688316,13.88888889,0
