time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,89.49891225,7.928629898,-2.727915049,0,0,0
0.02,0.194594444,89.49891225,7.928629898,-2.727915049,0,0,0
0.03,0.389488889,89.49891225,7.928629898,-2.727915049,0,0,0
0.04,0.584683333,89.49891225,7.928629898,-2.727915049,0,0,0
0.05,0.780177778,89.49891225,7.928629898,-2.727915049,0,0,0
0.06,0.975972222,89.49891225,7.928629898,-2.727915049,0,0,0
0.07,1.172066667,89.49891225,7.928629898,-2.727915049,0,0,0
0.08,1.368461111,89.49891225,7.928629898,-2.727915049,0,0,0
0.09,1.565155556,89.49891225,7.928629898,-2.727915049,0,0,0
0.1,1.76215,89.49891225,7.928629898,-2.727915049,0,0,0
0.11,1.959444444,89.49891225,7.928629898,-2.727915049,0,0,0
0.12,2.157038889,89.49891225,7.928629898,-2.727915049,0,0,0
0.13,2.354933333,89.49891225,7.928629898,-2.727915049,0,0,0
0.14,2.553127778,89.49891225,7.928629898,-2.727915049,0,0,0
0.15,2.751622222,89.49891225,7.928629898,-2.727915049,0,0,0
0.16,2.950416667,89.49891225,7.928629898,-2.727915049,0,0,0
0.17,3.149511111,89.49891225,7.928629898,-2.727915049,0,0,0
0.18,3.348905556,89.49891225,7.928629898,-2.727915049,0,0,0
0.19,3.5486,89.49891225,7.928629898,-2.727915049,0,0,0
0.2,3.748594444,89.49891225,7.928629898,-2.727915049,0,0,0
0.21,3.948888889,89.49891225,7.928629898,-2.727915049,0,0,0
0.22,4.149483333,89.49891225,7.928629898,-2.727915049,0,0,0
0.23,4.350377778,89.49891225,7.928629898,-2.727915049,0,0,0
0.24,4.551572222,89.49891225,7.928629898,-2.727915049,0,0,0
0.25,4.753066667,89.49891225,7.928629898,-2.727915049,0,0,0
0.26,4.954861111,89.49891225,7.928629898,-2.727915049,0,0,0
0.27,5.156955556,89.49891225,7.928629898,-2.727915049,0,0,0
0.28,5.35935,89.49891225,7.928629898,-2.727915049,0,0,0
0.29,5.562044444,89.49891225,7.928629898,-2.727915049,0,0,0
0.3,5.765038889,89.49891225,7.928629898,-2.727915049,0,0,0
0.31,5.968333333,89.49891225,7.928629898,-2.727915049,0,0,0
0.32,6.171927778,89.49891225,7.928629898,-2.727915049,0,0,0
0.33,6.375822222,89.49891225,7.928629898,-2.727915049,0,0,0
0.34,6.580016667,89.49891225,7.928629898,-2.727915049,0,0,0
0.35,6.784511111,89.49891225,7.928629898,-2.727915049,0,0,0
0.36,6.989305556,89.49891225,7.928629898,-2.727915049,0,0,0
0.37,7.1944,89.49891225,7.928629898,-2.727915049,0,0,0
0.38,7.399794444,89.49891225,7.928629898,-2.727915049,0,0,0
0.39,7.605488889,89.49891225,7.928629898,-2.727915049,0,0,0
0.4,7.811483333,89.49891225,7.928629898,-2.727915049,0,0,0
0.41,8.017777778,89.49891225,7.928629898,-2.727915049,0,0,0
0.42,8.224372222,89.49891225,7.928629898,-2.727915049,0,0,0
0.43,8.431266667,89.49891225,7.928629898,-2.727915049,0,0,0
0.44,8.638461111,89.49891225,7.928629898,-2.727915049,0,0,0
0.45,8.845955556,89.49891225,7.928629898,-2.727915049,0,0,0
0.46,9.05375,89.49891225,7.928629898,-2.727915049,0,0,0
0.47,9.261844444,89.49891225,7.928629898,-2.727915049,0,0,0
0.48,9.470238889,89.49891225,7.928629898,-2.727915049,0,0,0
0.49,9.678933333,89.49891225,7.928629898,-2.727915049,0,0,0
0.5,9.887927778,89.49891225,7.928629898,-2.727915049,0,0,0
0.51,10.09722222,89.49891225,7.928629898,-2.727915049,0,0,0
0.52,10.30681667,89.49891225,7.928629898,-2.727915049,0,0,0
0.53,10.51671111,89.49891225,7.928629898,-2.727915049,0,0,0
0.54,10.72690556,89.49891225,7.928629898,-2.727915049,0,0,0
0.55,10.9374,89.49891225,7.928629898,-2.727915049,0,0,0
0.56,11.14819444,89.49891225,7.928629898,-2.727915049,0,0,0
0.57,11.35928889,89.49891225,7.928629898,-2.727915049,0,0,0
0.58,11.57068333,89.49891225,7.928629898,-2.727915049,0,0,0
0.59,11.78237778,89.49891225,7.928629898,-2.727915049,0,0,0
0.6,11.99437222,89.49891225,7.928629898,-2.727915049,0,0,0
0.61,12.20666667,89.49891225,7.928629898,-2.727915049,0,0,0
0.62,12.41926111,89.49891225,7.928629898,-2.727915049,0,0,0
0.63,12.63215556,89.49891225,7.928629898,-2.727915049,0,0,0
0.64,12.84535,89.49891225,7.928629898,-2.727915049,0,0,0
0.65,13.05884444,89.49891225,7.928629898,-2.727915049,0,0,0
0.66,13.27263889,89.49891225,7.928629898,-2.727915049,0,0,0
0.67,13.48673333,89.49891225,7.928629898,-2.727915049,0,0,0
0.68,13.70112778,89.49891225,7.928629898,-2.727915049,0,0,0
0.69,13.91582222,89.49891225,7.928629898,-2.727915049,0,0,0
0.7,14.13081667,89.49891225,7.928629898,-2.727915049,0,0,0
0.71,14.34611111,89.49891225,7.928629898,-2.727915049,0,0,0
0.72,14.56170556,89.49891225,7.928629898,-2.727915049,0,0,0
0.73,14.7776,89.49891225,7.928629898,-2.727915049,0,0,0
0.74,14.99379444,89.49891225,7.928629898,-2.727915049,0,0,0
0.75,15.21028889,89.49891225,7.928629898,-2.727915049,0,0,0
0.76,15.42708333,89.49891225,7.928629898,-2.727915049,0,0,0
0.77,15.64417778,89.49891225,7.928629898,-2.727915049,0,0,0
0.78,15.86157222,89.49891225,7.928629898,-2.727915049,0,0,0
0.79,16.07926667,89.49891225,7.928629898,-2.727915049,0,0,0
0.8,16.29726111,89.49891225,7.928629898,-2.727915049,0,0,0
0.81,16.51555556,89.49891225,7.928629898,-2.727915049,0,0,0
0.82,16.73415,89.49891225,7.928629898,-2.727915049,0,0,0
0.83,16.95304444,89.49891225,7.928629898,-2.727915049,0,0,0
0.84,17.17223889,89.49891225,7.928629898,-2.727915049,0,0,0
0.85,17.39173333,89.49891225,7.928629898,-2.727915049,0,0,0
0.86,17.61152778,89.49891225,7.928629898,-2.727915049,0,0,0
0.87,17.83162222,89.49891225,7.928629898,-2.727915049,0,0,0
0.88,18.05201667,89.49891225,7.928629898,-2.727915049,0,0,0
0.89,18.27271111,89.49891225,7.928629898,-2.727915049,0,0,0
0.9,18.49370556,89.49891225,7.928629898,-2.727915049,0,0,0
0.91,18.715,89.49891225,7.928629898,-2.727915049,0,0,0
0.92,18.93659444,89.49891225,7.928629898,-2.727915049,0,0,0
0.93,19.15848889,89.49891225,7.928629898,-2.727915049,0,0,0
0.94,19.38068333,89.49891225,7.928629898,-2.727915049,0,0,0
0.95,19.60317778,89.49891225,7.928629898,-2.727915049,0,0,0
0.96,19.82597222,89.49891225,7.928629898,-2.727915049,0,0,0
0.97,20.04906667,89.49891225,7.928629898,-2.727915049,0,0,0
0.98,20.27246111,89.49891225,7.928629898,-2.727915049,0,0,0
0.99,20.49615556,89.49891225,7.928629898,-2.727915049,0,0,0
1,20.72015,89.49891225,7.928629898,-2.727915049,0,0,0
1.01,20.94444444,89.49891225,7.928629898,-2.727915049,0,0,0
1.02,21.16903889,89.49891225,7.928629898,-2.727915049,0,0,0
1.03,21.39393333,89.49891225,7.928629898,-2.727915049,0,0,0
1.04,21.61912778,89.49891225,7.928629898,-2.727915049,0,0,0
1.05,21.84462222,89.49891225,7.928629898,-2.727915049,0,0,0
1.06,22.07041667,89.49891225,7.928629898,-2.727915049,0,0,0
1.07,22.29651111,89.49891225,7.928629898,-2.727915049,0,0,0
1.08,22.52290556,89.49891225,7.928629898,-2.727915049,0,0,0
1.09,22.7496,89.49891225,7.928629898,-2.727915049,0,0,0
1.1,22.97659444,89.49891225,7.928629898,-2.727915049,0,0,0
1.11,23.20388889,89.49891225,7.928629898,-2.727915049,0,0,0
1.12,23.43148333,89.49891225,7.928629898,-2.727915049,0,0,0
1.13,23.65937778,89.49891225,7.928629898,-2.727915049,0,0,0
1.14,23.88757222,89.49891225,7.928629898,-2.727915049,0,0,0
1.15,24.11606667,89.49891225,7.928629898,-2.727915049,0,0,0
1.16,24.34486111,89.49891225,7.928629898,-2.727915049,0,0,0
1.17,24.57395556,89.49891225,7.928629898,-2.727915049,0,0,0
1.18,24.80335,89.49891225,7.928629898,-2.727915049,0,0,0
1.19,25.03304444,89.49891225,7.928629898,-2.727915049,0,0,0
1.2,25.26303889,89.49891225,7.928629898,-2.727915049,0,0,0
1.21,25.49333333,89.49891225,7.928629898,-2.727915049,0,0,0
1.22,25.72392778,89.49891225,7.928629898,-2.727915049,0,0,0
1.23,25.95482222,89.49891225,7.928629898,-2.727915049,0,0,0
1.24,26.18601667,89.49891225,7.928629898,-2.727915049,0,0,0
1.25,26.41751111,89.49891225,7.928629898,-2.727915049,0,0,0
1.26,26.64930556,89.49891225,7.928629898,-2.727915049,0,0,0
1.27,26.8814,89.49891225,7.928629898,-2.727915049,0,0,0
1.28,27.11379444,89.49891225,7.928629898,-2.727915049,0,0,0
1.29,27.34648889,89.49891225,7.928629898,-2.727915049,0,0,0
1.3,27.57948333,89.49891225,7.928629898,-2.727915049,0,0,0
1.31,27.81277778,89.49891225,7.928629898,-2.727915049,0,0,0
1.32,28.04637222,89.49891225,7.928629898,-2.727915049,0,0,0
1.33,28.28026667,89.49891225,7.928629898,-2.727915049,0,0,0
1.34,28.51446111,89.49891225,7.928629898,-2.727915049,0,0,0
1.35,28.74895556,89.49891225,7.928629898,-2.727915049,0,0,0
1.36,28.98375,89.49891225,7.928629898,-2.727915049,0,0,0
1.37,29.21884444,89.49891225,7.928629898,-2.727915049,0,0,0
1.38,29.45423889,89.49891225,7.928629898,-2.727915049,0,0,0
1.39,29.68993333,89.49891225,7.928629898,-2.727915049,0,0,0
1.4,29.92592778,89.49891225,7.928629898,-2.727915049,0,0,0
1.41,30.16222222,89.49891225,7.928629898,-2.727915049,0,0,0
1.42,30.39881667,89.49891225,7.928629898,-2.727915049,0,0,0
1.43,30.63571111,89.49891225,7.928629898,-2.727915049,0,0,0
1.44,30.87290556,89.49891225,7.928629898,-2.727915049,0,0,0
1.45,31.1104,89.49891225,7.928629898,-2.727915049,0,0,0
1.46,31.34819444,89.49891225,7.928629898,-2.727915049,0,0,0
1.47,31.58628889,89.49891225,7.928629898,-2.727915049,0,0,0
1.48,31.82468333,89.49891225,7.928629898,-2.727915049,0,0,0
1.49,32.06337778,89.49891225,7.928629898,-2.727915049,0,0,0
1.5,32.30237222,89.49891225,7.928629898,-2.727915049,0,0,0
1.51,32.54166667,89.49891225,7.928629898,-2.727915049,0,0,0
1.52,32.78126111,89.49891225,7.928629898,-2.727915049,0,0,0
1.53,33.02115556,89.49891225,7.928629898,-2.727915049,0,0,0
1.54,33.26135,89.49891225,7.928629898,-2.727915049,0,0,0
1.55,33.50184444,89.49891225,7.928629898,-2.727915049,0,0,0
1.56,33.74263889,89.49891225,7.928629898,-2.727915049,0,0,0
1.57,33.98373333,89.49891225,7.928629898,-2.727915049,0,0,0
1.58,34.22512778,89.49891225,7.928629898,-2.727915049,0,0,0
1.59,34.46682222,89.49891225,7.928629898,-2.727915049,0,0,0
1.6,34.70881667,89.49891225,7.928629898,-2.727915049,0,0,0
1.61,34.95111111,89.49891225,7.928629898,-2.727915049,0,0,0
1.62,35.19370556,89.49891225,7.928629898,-2.727915049,0,0,0
1.63,35.4366,89.49891225,7.928629898,-2.727915049,0,0,0
1.64,35.67979444,89.49891225,7.928629898,-2.727915049,0,0,0
1.65,35.92328889,89.49891225,7.928629898,-2.727915049,0,0,0
1.66,36.16708333,89.49891225,7.928629898,-2.727915049,0,0,0
1.67,36.41117778,89.49891225,7.928629898,-2.727915049,0,0,0
1.68,36.65557222,89.49891225,7.928629898,-2.727915049,0,0,0
1.69,36.90026667,89.49891225,7.928629898,-2.727915049,0,0,0
1.7,37.14526111,89.49891225,7.928629898,-2.727915049,0,0,0
1.71,37.39055556,89.49891225,7.928629898,-2.727915049,0,0,0
1.72,37.63615,89.49891225,7.928629898,-2.727915049,0,0,0
1.73,37.88204444,89.49891225,7.928629898,-2.727915049,0,0,0
1.74,38.12823889,89.49891225,7.928629898,-2.727915049,0,0,0
1.75,38.37473333,89.49891225,7.928629898,-2.727915049,0,0,0
1.76,38.62152778,89.49891225,7.928629898,-2.727915049,0,0,0
1.77,38.86862222,89.49891225,7.928629898,-2.727915049,0,0,0
1.78,39.11601667,89.49891225,7.928629898,-2.727915049,0,0,0
1.79,39.36371111,89.49891225,7.928629898,-2.727915049,0,0,0
1.8,39.61170556,89.49891225,7.928629898,-2.727915049,0,0,0
1.81,39.86,89.49891225,7.928629898,-2.727915049,0,0,0
1.82,40.10859444,89.49891225,7.928629898,-2.727915049,0,0,0
1.83,40.35748889,89.49891225,7.928629898,-2.727915049,0,0,0
1.84,40.60668333,89.49891225,7.928629898,-2.727915049,0,0,0
1.85,40.85617778,89.49891225,7.928629898,-2.727915049,0,0,0
1.86,41.10597222,89.49891225,7.928629898,-2.727915049,0,0,0
1.87,41.35594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.88,41.60594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.89,41.85594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.9,42.10594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.91,42.35594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.92,42.60594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.93,42.85594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.94,43.10594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.95,43.35594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.96,43.60594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.97,43.85594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.98,44.10594444,89.49891225,7.928629898,-2.727915049,0,0,0
1.99,44.35594444,89.49891225,7.928629898,-2.727915049,0,0,0
2,44.60594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.01,44.85594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.02,45.10594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.03,45.35594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.04,45.60594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.05,45.85594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.06,46.10594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.07,46.35594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.08,46.60594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.09,46.85594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.1,47.10594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.11,47.35594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.12,47.60594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.13,47.85594444,89.49891225,7.928629898,-2.727915049,0,0,0
2.14,48.10594444,89.49891225,7.928629898,-2.727915049,0,0,0
