time,arclength,x,y,yaw,kappa,speed,accel
0.01,0,-146.499604,103.7923642,2.324908932,0.00058324,19.44444444,0
0.02,0.194444444,-146.6327368,103.9340833,2.32502147,0.000574231,19.44444444,0
0.03,0.388888889,-146.7658856,104.0757874,2.325133525,0.000579539,19.44444444,0
0.04,0.583333333,-146.8990502,104.2174765,2.325246001,0.000578321,19.44444444,0
0.05,0.777777778,-147.0322308,104.3591507,2.325358458,0.000582159,19.44444444,0
0.06,0.972222222,-147.1654274,104.5008099,2.325471411,0.000576085,19.44444444,0
0.07,1.166666667,-147.2986398,104.6424541,2.32558247,0.000564684,19.44444444,0
0.08,1.361111111,-147.4318679,104.7840836,2.325692785,0.000571976,19.44444444,0
0.09,1.555555556,-147.5651117,104.9256984,2.325803464,0.000566367,19.44444444,0
0.1,1.75,-147.698371,105.0672985,2.325913047,0.000563512,19.44444444,0
0.11,1.944444444,-147.8316459,105.208884,2.326023011,0.000564751,19.44444444,0
0.12,2.138888889,-147.9649363,105.3504548,2.326132389,0.000559868,19.44444444,0
0.13,2.333333333,-148.0982422,105.4920111,2.326241419,0.000563312,19.44444444,0
0.14,2.527777778,-148.2315635,105.6335529,2.326350628,0.000558554,19.44444444,0
0.15,2.722222222,-148.3649002,105.7750801,2.326458607,0.000554189,19.44444444,0
0.16,2.916666667,-148.4982522,105.916593,2.326566989,0.000557567,19.44444444,0
0.17,3.111111111,-148.6316195,106.0580914,2.32667465,0.000550131,19.44444444,0
0.18,3.305555556,-148.765002,106.1995756,2.326781369,0.000551632,19.44444444,0
0.19,3.5,-148.8983996,106.3410454,2.326888624,0.000548207,19.44444444,0
0.2,3.694444444,-149.0318122,106.4825011,2.326994573,0.000541552,19.44444444,0
0.21,3.888888889,-149.1652399,106.6239426,2.32710058,0.000547631,19.44444444,0
0.22,4.083333333,-149.2986825,106.76537,2.327206287,0.000540803,19.44444444,0
0.23,4.277777778,-149.43214,106.9067833,2.327310921,0.000539179,19.44444444,0
0.24,4.472222222,-149.5656124,107.0481827,2.327416034,0.00053874,19.44444444,0
0.25,4.666666667,-149.6990995,107.189568,2.32752041,0.000533488,19.44444444,0
0.26,4.861111111,-149.8326014,107.3309395,2.327624864,0.000540207,19.44444444,0
0.27,5.055555556,-149.9661181,107.472297,2.327729024,0.00053113,19.44444444,0
0.28,5.25,-150.0996493,107.6136407,2.327831411,0.000524696,19.44444444,0
0.29,5.444444444,-150.2331951,107.7549707,2.327933979,0.000528592,19.44444444,0
0.3,5.638888889,-150.3667553,107.8962871,2.328036731,0.000527847,19.44444444,0
0.31,5.833333333,-150.5003301,108.0375897,2.328139877,0.000533014,19.44444444,0
0.32,6.027777778,-150.6339194,108.1788784,2.328242778,0.000524109,19.44444444,0
0.33,6.222222222,-150.7675232,108.3201536,2.328343634,0.000516121,19.44444444,0
0.34,6.416666667,-150.9011412,108.4614154,2.3284448,0.00052143,19.44444444,0
0.35,6.611111111,-151.0347735,108.6026636,2.328545461,0.000514434,19.44444444,0
0.36,6.805555556,-151.1684199,108.7438984,2.328645303,0.000516467,19.44444444,0
0.37,7,-151.3020805,108.8851198,2.328745637,0.000512325,19.44444444,0
0.38,7.194444444,-151.4357551,109.0263279,2.328844563,0.000505149,19.44444444,0
0.39,7.388888889,-151.5694437,109.1675229,2.328943274,0.000510153,19.44444444,0
