time,arclength,x,y,yaw,kappa,speed,accel
0,0,61.04889811,-109.4514211,2.255990275,-0.00469343,5.555555556,0
0.01,0.055555,61.01374688,-109.4084,2.255728924,-0.004717009,5.555555556,0
0.02,0.111111,60.97860693,-109.3653697,2.255465873,-0.004752816,5.555555556,0
0.03,0.166667,60.94347835,-109.3223302,2.255200918,-0.004779937,5.555555556,0
0.04,0.222222,60.90836119,-109.2792813,2.254935062,-0.004790853,5.555555556,0
0.05,0.277778,60.87325548,-109.2362231,2.254669335,-0.004753622,5.555555556,0
0.06,0.333333,60.83816115,-109.1931556,2.254407378,-0.00467683,5.555555556,0
0.07,0.388889,60.80307803,-109.150079,2.254147691,-0.004695976,5.555555556,0
0.08,0.444444,60.76800614,-109.1069933,2.253885378,-0.004747281,5.555555556,0
0.09,0.5,60.73294562,-109.0638983,2.253620912,-0.004772169,5.555555556,0
0.1,0.555555,60.69789652,-109.020794,2.253355131,-0.004797785,5.555555556,0
0.11,0.611111,60.66285891,-108.9776803,2.253087534,-0.00483568,5.555555556,0
0.12,0.666667,60.62783288,-108.9345573,2.252817918,-0.004864784,5.555555556,0
0.13,0.722222,60.59281851,-108.8914248,2.252547299,-0.004877485,5.555555556,0
0.14,0.777778,60.55781583,-108.8482828,2.252276746,-0.004839665,5.555555556,0
0.15,0.833333,60.52282474,-108.8051314,2.252010079,-0.004760333,5.555555556,0
0.16,0.888889,60.48784508,-108.7619707,2.251745789,-0.004778612,5.555555556,0
0.17,0.944444,60.45287689,-108.7188008,2.251478894,-0.00482961,5.555555556,0
0.18,1,60.41792027,-108.6756214,2.251209875,-0.004853695,5.555555556,0
0.19,1.055555,60.38297529,-108.6324327,2.250939588,-0.004878527,5.555555556,0
0.2,1.111111,60.34804202,-108.5892345,2.25066752,-0.0049159,5.555555556,0
0.21,1.166667,60.31312056,-108.5460267,2.250393464,-0.00494425,5.555555556,0
0.22,1.222222,60.27821096,-108.5028093,2.250118464,-0.004955764,5.555555556,0
0.23,1.277778,60.24331325,-108.4595824,2.249843586,-0.004917261,5.555555556,0
0.24,1.333333,60.20842735,-108.4163459,2.249572616,-0.004837662,5.555555556,0
0.25,1.388889,60.1735531,-108.3731,2.249304012,-0.004856909,5.555555556,0
0.26,1.444444,60.13869051,-108.3298447,2.249032728,-0.004909289,5.555555556,0
0.27,1.5,60.10383972,-108.2865799,2.248759253,-0.004934438,5.555555556,0
0.28,1.555555,60.06900078,-108.2433056,2.248484451,-0.004960318,5.555555556,0
0.29,1.611111,60.03417378,-108.2000217,2.24820781,-0.004998741,5.555555556,0
0.3,1.666667,59.9993588,-108.156728,2.247929121,-0.005028258,5.555555556,0
0.31,1.722222,59.96455591,-108.1134247,2.247649415,-0.005041158,5.555555556,0
0.32,1.777778,59.92976514,-108.0701116,2.24736977,-0.005003097,5.555555556,0
0.33,1.833333,59.89498641,-108.0267889,2.24709404,-0.004923164,5.555555556,0
0.34,1.888889,59.86021955,-107.9834566,2.246820719,-0.004940941,5.555555556,0
0.35,1.944444,59.82546459,-107.9401148,2.246544818,-0.00499147,5.555555556,0
0.36,2,59.79072164,-107.8967634,2.246266825,-0.005014909,5.555555556,0
0.37,2.055555,59.75599077,-107.8534023,2.245987599,-0.005039154,5.555555556,0
0.38,2.111111,59.72127204,-107.8100314,2.245706613,-0.005076332,5.555555556,0
0.39,2.166667,59.68656554,-107.7666508,2.245423655,-0.005103961,5.555555556,0
0.4,2.222222,59.65187135,-107.7232603,2.245139829,-0.005113774,5.555555556,0
0.41,2.277778,59.61718947,-107.67986,2.244856221,-0.005073486,5.555555556,0
0.42,2.333333,59.58251983,-107.6364499,2.244576624,-0.00499203,5.555555556,0
0.43,2.388889,59.54786225,-107.5930302,2.244299418,-0.00501315,5.555555556,0
0.44,2.444444,59.51321677,-107.5496009,2.244019367,-0.005068655,5.555555556,0
0.45,2.5,59.47858351,-107.5061617,2.24373698,-0.005095858,5.555555556,0
0.46,2.555555,59.44396254,-107.4627128,2.243453154,-0.005123816,5.555555556,0
0.47,2.611111,59.40935395,-107.419254,2.243167359,-0.005164786,5.555555556,0
0.48,2.666667,59.37475783,-107.3757853,2.242879378,-0.00519655,5.555555556,0
0.49,2.722222,59.34017426,-107.3323067,2.242590275,-0.005211135,5.555555556,0
0.5,2.777778,59.30560327,-107.288818,2.242301183,-0.00517191,5.555555556,0
0.51,2.833333,59.27104477,-107.2453193,2.242016173,-0.00508847,5.555555556,0
0.52,2.888889,59.23649859,-107.2018109,2.241733707,-0.00510551,5.555555556,0
0.53,2.944444,59.20196476,-107.1582927,2.241448659,-0.005156231,5.555555556,0
0.54,3,59.16744338,-107.1147646,2.241161527,-0.005179092,5.555555556,0
0.55,3.055555,59.13293453,-107.0712266,2.240873197,-0.005202756,5.555555556,0
0.56,3.111111,59.09843827,-107.0276786,2.240583132,-0.005239566,5.555555556,0
0.57,3.166667,59.06395469,-106.9841206,2.240291116,-0.005266759,5.555555556,0
0.58,3.222222,59.02948385,-106.9405525,2.239998261,-0.005276005,5.555555556,0
0.59,3.277778,58.99502578,-106.8969743,2.239705648,-0.005235734,5.555555556,0
0.6,3.333333,58.96058038,-106.853386,2.239417023,-0.005154777,5.555555556,0
0.61,3.388889,58.92614748,-106.8097879,2.239130778,-0.005175594,5.555555556,0
0.62,3.444444,58.89172713,-106.7661799,2.238841719,-0.005230526,5.555555556,0
0.63,3.5,58.85731944,-106.7225619,2.238550353,-0.005257204,5.555555556,0
0.64,3.555555,58.82292448,-106.6789338,2.238257578,-0.005284703,5.555555556,0
0.65,3.611111,58.78854235,-106.6352957,2.237962848,-0.005325578,5.555555556,0
0.66,3.666667,58.75417312,-106.5916474,2.237665941,-0.005356689,5.555555556,0
0.67,3.722222,58.71981689,-106.5479888,2.237367989,-0.005369585,5.555555556,0
0.68,3.777778,58.68547367,-106.50432,2.237070145,-0.005328425,5.555555556,0
0.69,3.833333,58.65114337,-106.4606411,2.236776499,-0.005242849,5.555555556,0
