time,arclength,x,y,yaw,kappa,speed,accel
0,0,-129.5522049,40.677631,-0.856647719,0.000316792,8.333333333,0
0.01,0.083333333,-129.4976229,40.61466079,-0.856621263,0.000318137,8.333333333,0
0.02,0.166666667,-129.4430392,40.55169203,-0.856594699,0.000319398,8.333333333,0
0.03,0.25,-129.3884539,40.48872472,-0.856568022,0.000320878,8.333333333,0
0.04,0.333333333,-129.3338668,40.42575888,-0.856541234,0.000321875,8.333333333,0
0.05,0.416666667,-129.2792781,40.36279449,-0.856514401,0.000321569,8.333333333,0
0.06,0.5,-129.2246876,40.29983157,-0.856487664,0.000320124,8.333333333,0
0.07,0.583333333,-129.1700955,40.2368701,-0.856461044,0.000318769,8.333333333,0
0.08,0.666666667,-129.1155017,40.17391009,-0.856434525,0.000317708,8.333333333,0
0.09,0.75,-129.0609063,40.11095152,-0.856408139,0.000315378,8.333333333,0
0.1,0.833333333,-129.0063092,40.04799438,-0.856381845,0.000317039,8.333333333,0
0.11,0.916666667,-128.9517104,39.98503869,-0.856355315,0.000318587,8.333333333,0
0.12,1,-128.89711,39.92208445,-0.8563288,0.000317586,8.333333333,0
0.13,1.083333333,-128.8425079,39.85913165,-0.856302401,0.000316015,8.333333333,0
0.14,1.166666667,-128.7879041,39.79618029,-0.85627612,0.000314742,8.333333333,0
0.15,1.25,-128.7332987,39.73323036,-0.856249973,0.000312686,8.333333333,0
0.16,1.333333333,-128.6786917,39.67028186,-0.856223939,0.000312904,8.333333333,0
0.17,1.416666667,-128.624083,39.60733478,-0.856197815,0.000313863,8.333333333,0
0.18,1.5,-128.5694726,39.54438912,-0.856171639,0.000314267,8.333333333,0
0.19,1.583333333,-128.5148606,39.4814449,-0.856145446,0.000314358,8.333333333,0
0.2,1.666666667,-128.460247,39.41850211,-0.856119254,0.000314248,8.333333333,0
0.21,1.75,-128.4056317,39.35556075,-0.856093034,0.000315151,8.333333333,0
0.22,1.833333333,-128.3510148,39.29262082,-0.856066827,0.000312671,8.333333333,0
0.23,1.916666667,-128.2963962,39.22968232,-0.856040885,0.000311513,8.333333333,0
0.24,2,-128.241776,39.16674523,-0.856014835,0.000313791,8.333333333,0
0.25,2.083333333,-128.1871541,39.10380957,-0.855988577,0.000316423,8.333333333,0
0.26,2.166666667,-128.1325306,39.04087536,-0.855962088,0.000319311,8.333333333,0
0.27,2.25,-128.0779054,38.97794259,-0.855935398,0.000321098,8.333333333,0
0.28,2.333333333,-128.0232785,38.91501129,-0.855908452,0.000327009,8.333333333,0
0.29,2.416666667,-127.9686499,38.85208148,-0.855881005,0.00032812,8.333333333,0
0.3,2.5,-127.9140196,38.78915316,-0.855853931,0.000321545,8.333333333,0
0.31,2.583333333,-127.8593876,38.7262263,-0.855827426,0.000314605,8.333333333,0
0.32,2.666666667,-127.804754,38.66330088,-0.855801481,0.000308084,8.333333333,0
0.33,2.75,-127.7501187,38.60037685,-0.855776142,0.000299852,8.333333333,0
0.34,2.833333333,-127.6954819,38.5374542,-0.855751373,0.000296144,8.333333333,0
0.35,2.916666667,-127.6408435,38.47453289,-0.855726678,0.000298532,8.333333333,0
0.36,3,-127.5862035,38.41161294,-0.855701529,0.000304794,8.333333333,0
0.37,3.083333333,-127.531562,38.34869438,-0.855675904,0.000310197,8.333333333,0
0.38,3.166666667,-127.4769188,38.28577724,-0.85564984,0.000315347,8.333333333,0
0.39,3.25,-127.422274,38.22286153,-0.855623276,0.000322423,8.333333333,0
0.4,3.333333333,-127.3676275,38.15994728,-0.855596268,0.000323866,8.333333333,0
0.41,3.416666667,-127.3129792,38.09703452,-0.85556936,0.000321276,8.333333333,0
0.42,3.5,-127.2583293,38.03412321,-0.855542747,0.000317705,8.333333333,0
0.43,3.583333333,-127.2036778,37.97121335,-0.855516382,0.000315046,8.333333333,0
0.44,3.666666667,-127.1490245,37.90830493,-0.855490232,0.000312553,8.333333333,0
0.45,3.75,-127.0943697,37.84539792,-0.855464344,0.000308581,8.333333333,0
0.46,3.833333333,-127.0397132,37.78249233,-0.855438668,0.00030921,8.333333333,0
0.47,3.916666667,-126.9850551,37.71958814,-0.855412798,0.000311133,8.333333333,0
0.48,4,-126.9303954,37.65668538,-0.85538684,0.000311684,8.333333333,0
0.49,4.083333333,-126.875734,37.59378403,-0.855360872,0.000311555,8.333333333,0
0.5,4.166666667,-126.821071,37.5308841,-0.855334908,0.000311572,8.333333333,0
0.51,4.25,-126.7664064,37.46798559,-0.855308945,0.000311543,8.333333333,0
0.52,4.333333333,-126.7117401,37.40508849,-0.855282983,0.000311568,8.333333333,0
0.53,4.416666667,-126.6570722,37.34219282,-0.855257017,0.000311603,8.333333333,0
0.54,4.5,-126.6024027,37.27929857,-0.85523105,0.000311592,8.333333333,0
0.55,4.583333333,-126.5477315,37.21640574,-0.855205087,0.000311538,8.333333333,0
0.56,4.666666667,-126.4930587,37.15351432,-0.855179116,0.000311762,8.333333333,0
0.57,4.75,-126.4383843,37.09062433,-0.855153164,0.000310952,8.333333333,0
0.58,4.833333333,-126.3837082,37.02773575,-0.85512719,0.00031359,8.333333333,0
0.59,4.916666667,-126.3290305,36.9648486,-0.855100939,0.000314773,8.333333333,0
0.6,5,-126.2743512,36.90196289,-0.855074806,0.000312318,8.333333333,0
0.61,5.083333333,-126.2196702,36.8390786,-0.855048897,0.000309492,8.333333333,0
0.62,5.166666667,-126.1649876,36.77619572,-0.855023223,0.000306695,8.333333333,0
0.63,5.25,-126.1103034,36.71331424,-0.854997781,0.00030391,8.333333333,0
0.64,5.333333333,-126.0556176,36.65043414,-0.854972587,0.000300568,8.333333333,0
