time,arclength,x,y,yaw,kappa,speed,accel
0,2.39E-09,-24.50159504,-346.8644677,0.009323179,3.59E-11,4.77E-07,4.77E-05
0.01,1.32E-08,-24.50159503,-346.8644677,0.009323179,1.98E-10,1.68E-06,0.000120273
0.02,3.96E-08,-24.501595,-346.8644677,0.009323179,5.96E-10,3.61E-06,0.000192824
0.03,8.90E-08,-24.50159496,-346.8644677,0.009323179,1.34E-09,6.26E-06,0.000265375
0.04,1.68E-07,-24.50159488,-346.8644677,0.009323179,2.53E-09,9.64E-06,0.000337926
0.05,2.85E-07,-24.50159476,-346.8644677,0.009323179,4.29E-09,1.37E-05,0.000410477
0.06,4.47E-07,-24.5015946,-346.8644677,0.009323179,6.72E-09,1.86E-05,0.000483028
0.07,6.61E-07,-24.50159438,-346.8644677,0.009323179,9.93E-09,2.41E-05,0.000555578
0.08,9.33E-07,-24.50159411,-346.8644677,0.009323179,1.40E-08,3.04E-05,0.000628129
0.09,1.27E-06,-24.50159377,-346.8644677,0.009323179,1.91E-08,3.74E-05,0.000700678
0.1,1.69E-06,-24.50159336,-346.8644677,0.009323179,2.53E-08,4.52E-05,0.000773228
0.11,2.18E-06,-24.50159287,-346.8644677,0.009323179,3.28E-08,5.36E-05,0.000845778
0.12,2.76E-06,-24.50159228,-346.8644677,0.009323179,4.15E-08,6.28E-05,0.000918327
0.13,3.44E-06,-24.50159161,-346.8644677,0.009323179,5.17E-08,7.27E-05,0.000990876
0.14,4.22E-06,-24.50159083,-346.8644677,0.009323179,6.34E-08,8.33E-05,0.001063425
0.15,5.11E-06,-24.50158994,-346.8644676,0.009323179,7.68E-08,9.47E-05,0.001135974
0.16,6.12E-06,-24.50158893,-346.8644676,0.009323179,9.20E-08,0.000106781,0.001208522
0.17,7.25E-06,-24.5015878,-346.8644676,0.009323179,1.09E-07,0.000119592,0.00128107
0.18,8.51E-06,-24.50158653,-346.8644676,0.009323179,1.28E-07,0.000133128,0.001353618
