time,arclength,x,y,yaw,kappa,speed,accel
0,2.39E-09,-69.90028377,-345.3565548,0.055657411,-9.16E-11,4.77E-07,4.77E-05
0.01,1.32E-08,-69.90028376,-345.3565548,0.055657411,-5.06E-10,1.68E-06,0.000120273
0.02,3.96E-08,-69.90028373,-345.3565548,0.055657411,-1.52E-09,3.61E-06,0.000192824
0.03,8.90E-08,-69.90028368,-345.3565548,0.055657411,-3.42E-09,6.26E-06,0.000265375
0.04,1.68E-07,-69.9002836,-345.3565547,0.055657411,-6.47E-09,9.64E-06,0.000337926
0.05,2.85E-07,-69.90028349,-345.3565547,0.055657411,-1.10E-08,1.37E-05,0.000410477
0.06,4.47E-07,-69.90028333,-345.3565547,0.055657411,-1.72E-08,1.86E-05,0.000483028
0.07,6.61E-07,-69.90028311,-345.3565547,0.055657411,-2.54E-08,2.41E-05,0.000555578
0.08,9.33E-07,-69.90028284,-345.3565547,0.055657411,-3.58E-08,3.04E-05,0.000628129
0.09,1.27E-06,-69.9002825,-345.3565547,0.055657411,-4.89E-08,3.74E-05,0.000700678
0.1,1.69E-06,-69.90028209,-345.3565547,0.055657411,-6.47E-08,4.52E-05,0.000773228
0.11,2.18E-06,-69.9002816,-345.3565546,0.055657411,-8.37E-08,5.36E-05,0.000845778
0.12,2.76E-06,-69.90028102,-345.3565546,0.055657411,-1.06E-07,6.28E-05,0.000918327
0.13,3.44E-06,-69.90028034,-345.3565546,0.055657411,-1.32E-07,7.27E-05,0.000990876
0.14,4.22E-06,-69.90027956,-345.3565545,0.055657411,-1.62E-07,8.33E-05,0.001063425
0.15,5.11E-06,-69.90027867,-345.3565545,0.055657411,-1.96E-07,9.47E-05,0.001135974
0.16,6.12E-06,-69.90027767,-345.3565544,0.055657411,-2.35E-07,0.000106781,0.001208522
0.17,7.25E-06,-69.90027654,-345.3565544,0.055657411,-2.78E-07,0.000119592,0.00128107
0.18,8.51E-06,-69.90027527,-345.3565543,0.055657411,-3.27E-07,0.000133128,0.001353618
0.19,9.91E-06,-69.90027387,-345.3565542,0.055657411,-3.81E-07,0.00014739,0.001426166
0.2,1.15E-05,-69.90027233,-345.3565541,0.055657411,-4.40E-07,0.000162377,0.001498714
0.21,1.32E-05,-69.90027063,-345.356554,0.055657411,-5.06E-07,0.00017809,0.001571261
0.22,1.50E-05,-69.90026877,-345.3565539,0.055657411,-5.77E-07,0.000194528,0.001643808
0.23,1.71E-05,-69.90026674,-345.3565538,0.055657411,-6.55E-07,0.000211691,0.001716355
0.24,1.93E-05,-69.90026454,-345.3565537,0.055657411,-7.40E-07,0.00022958,0.001788902
0.25,2.17E-05,-69.90026215,-345.3565536,0.055657411,-8.32E-07,0.000248195,0.001861448
0.26,2.42E-05,-69.90025958,-345.3565534,0.055657411,-9.31E-07,0.000267535,0.001933994
0.27,2.70E-05,-69.90025681,-345.3565533,0.055657411,-1.04E-06,0.0002876,0.00200654
0.28,3.00E-05,-69.90025383,-345.3565531,0.055657411,-1.15E-06,0.000308391,0.002079086
0.29,3.32E-05,-69.90025064,-345.3565529,0.055657411,-1.27E-06,0.000329907,0.002151632
0.3,3.66E-05,-69.90024724,-345.3565527,0.055657411,-1.41E-06,0.000352149,0.002224177
0.31,4.02E-05,-69.90024361,-345.3565525,0.055657411,-1.54E-06,0.000375116,0.002296722
0.32,4.41E-05,-69.90023974,-345.3565523,0.055657411,-1.69E-06,0.000398809,0.002369267
0.33,4.82E-05,-69.90023564,-345.3565521,0.055657411,-1.85E-06,0.000423227,0.002441812
0.34,5.26E-05,-69.90023129,-345.3565518,0.05565741,-2.02E-06,0.000448371,0.002514356
0.35,5.72E-05,-69.90022668,-345.3565516,0.05565741,-2.20E-06,0.00047424,0.0025869
0.36,6.21E-05,-69.90022182,-345.3565513,0.05565741,-2.38E-06,0.000500834,0.002659444
0.37,6.72E-05,-69.90021668,-345.356551,0.05565741,-2.58E-06,0.000528154,0.002731988
0.38,7.26E-05,-69.90021126,-345.3565507,0.05565741,-2.79E-06,0.000556199,0.002804532
0.39,7.83E-05,-69.90020557,-345.3565504,0.05565741,-3.01E-06,0.00058497,0.002877075
0.4,8.43E-05,-69.90019958,-345.3565501,0.05565741,-3.24E-06,0.000614466,0.002949618
0.41,9.06E-05,-69.90019329,-345.3565497,0.05565741,-3.48E-06,0.000644688,0.003022161
0.42,9.72E-05,-69.9001867,-345.3565494,0.05565741,-3.73E-06,0.000675635,0.003094704
0.43,0.000104135,-69.9001798,-345.356549,0.05565741,-4.00E-06,0.000707307,0.003167246
