time,arclength,x,y,yaw,kappa,speed,accel
0,2.39E-09,-84.56475617,-349.0876104,0.202332067,-1.72E-10,4.77E-07,4.77E-05
0.01,1.32E-08,-84.56475615,-349.0876104,0.202332067,-9.52E-10,1.68E-06,0.000120273
0.02,3.96E-08,-84.56475613,-349.0876104,0.202332067,-2.86E-09,3.61E-06,0.000192824
0.03,8.90E-08,-84.56475608,-349.0876104,0.202332067,-6.43E-09,6.26E-06,0.000265375
0.04,1.68E-07,-84.564756,-349.0876104,0.202332067,-1.22E-08,9.64E-06,0.000337926
0.05,2.85E-07,-84.56475589,-349.0876104,0.202332067,-2.06E-08,1.37E-05,0.000410477
0.06,4.47E-07,-84.56475573,-349.0876104,0.202332067,-3.23E-08,1.86E-05,0.000483028
0.07,6.61E-07,-84.56475552,-349.0876103,0.202332067,-4.78E-08,2.41E-05,0.000555578
0.08,9.33E-07,-84.56475525,-349.0876103,0.202332067,-6.75E-08,3.04E-05,0.000628129
0.09,1.27E-06,-84.56475492,-349.0876102,0.202332067,-9.20E-08,3.74E-05,0.000700678
0.1,1.69E-06,-84.56475452,-349.0876101,0.202332067,-1.22E-07,4.52E-05,0.000773228
0.11,2.18E-06,-84.56475403,-349.08761,0.202332067,-1.58E-07,5.36E-05,0.000845778
0.12,2.76E-06,-84.56475346,-349.0876099,0.202332067,-2.00E-07,6.28E-05,0.000918327
0.13,3.44E-06,-84.5647528,-349.0876097,0.202332067,-2.49E-07,7.27E-05,0.000990876
0.14,4.22E-06,-84.56475203,-349.0876096,0.202332067,-3.05E-07,8.33E-05,0.001063425
0.15,5.11E-06,-84.56475116,-349.0876094,0.202332067,-3.69E-07,9.47E-05,0.001135974
0.16,6.12E-06,-84.56475018,-349.0876092,0.202332067,-4.42E-07,0.000106781,0.001208522
0.17,7.25E-06,-84.56474907,-349.087609,0.202332067,-5.24E-07,0.000119592,0.00128107
0.18,8.51E-06,-84.56474783,-349.0876087,0.202332067,-6.15E-07,0.000133128,0.001353618
0.19,9.91E-06,-84.56474646,-349.0876084,0.202332067,-7.17E-07,0.00014739,0.001426166
0.2,1.15E-05,-84.56474494,-349.0876081,0.202332067,-8.29E-07,0.000162377,0.001498714
0.21,1.32E-05,-84.56474327,-349.0876078,0.202332067,-9.52E-07,0.00017809,0.001571261
0.22,1.50E-05,-84.56474145,-349.0876074,0.202332067,-1.09E-06,0.000194528,0.001643808
0.23,1.71E-05,-84.56473946,-349.087607,0.202332067,-1.23E-06,0.000211691,0.001716355
0.24,1.93E-05,-84.56473729,-349.0876066,0.202332067,-1.39E-06,0.00022958,0.001788902
0.25,2.17E-05,-84.56473495,-349.0876061,0.202332067,-1.57E-06,0.000248195,0.001861448
0.26,2.42E-05,-84.56473243,-349.0876056,0.202332067,-1.75E-06,0.000267535,0.001933994
0.27,2.70E-05,-84.56472971,-349.087605,0.202332067,-1.95E-06,0.0002876,0.00200654
0.28,3.00E-05,-84.56472679,-349.0876044,0.202332067,-2.17E-06,0.000308391,0.002079086
0.29,3.32E-05,-84.56472366,-349.0876038,0.202332067,-2.40E-06,0.000329907,0.002151632
0.3,3.66E-05,-84.56472032,-349.0876031,0.202332067,-2.65E-06,0.000352149,0.002224177
0.31,4.02E-05,-84.56471676,-349.0876024,0.202332066,-2.91E-06,0.000375116,0.002296722
0.32,4.41E-05,-84.56471297,-349.0876016,0.202332066,-3.19E-06,0.000398809,0.002369267
0.33,4.82E-05,-84.56470894,-349.0876008,0.202332066,-3.49E-06,0.000423227,0.002441812
0.34,5.26E-05,-84.56470467,-349.0875999,0.202332066,-3.80E-06,0.000448371,0.002514356
0.35,5.72E-05,-84.56470016,-349.087599,0.202332066,-4.13E-06,0.00047424,0.0025869
0.36,6.21E-05,-84.56469538,-349.087598,0.202332066,-4.49E-06,0.000500834,0.002659444
0.37,6.72E-05,-84.56469034,-349.0875969,0.202332066,-4.86E-06,0.000528154,0.002731988
0.38,7.26E-05,-84.56468503,-349.0875958,0.202332066,-5.25E-06,0.000556199,0.002804532
0.39,7.83E-05,-84.56467944,-349.0875947,0.202332066,-5.66E-06,0.00058497,0.002877075
0.4,8.43E-05,-84.56467356,-349.0875935,0.202332066,-6.10E-06,0.000614466,0.002949618
0.41,9.06E-05,-84.5646674,-349.0875922,0.202332066,-6.55E-06,0.000644688,0.003022161
0.42,9.72E-05,-84.56466093,-349.0875909,0.202332066,-7.03E-06,0.000675635,0.003094704
0.43,0.000104135,-84.56465416,-349.0875895,0.202332066,-7.53E-06,0.000707307,0.003167246
0.44,0.000111371,-84.56464707,-349.0875881,0.202332066,-8.05E-06,0.000739705,0.003239789
0.45,0.000118933,-84.56463966,-349.0875865,0.202332066,-8.60E-06,0.000772829,0.003312331
0.46,0.000126831,-84.56463192,-349.087585,0.202332066,-9.17E-06,0.000806677,0.003384873
0.47,0.00013507,-84.56462385,-349.0875833,0.202332066,-9.77E-06,0.000841251,0.003457414
0.48,0.000143659,-84.56461544,-349.0875816,0.202332066,-1.04E-05,0.000876551,0.003529955
0.49,0.000152605,-84.56460668,-349.0875798,0.202332066,-1.10E-05,0.000912576,0.003602497
0.5,0.000161915,-84.56459756,-349.0875779,0.202332066,-1.17E-05,0.000949326,0.003675038
0.51,0.000171595,-84.56458807,-349.087576,0.202332065,-1.24E-05,0.000986802,0.003747578
0.52,0.000181654,-84.56457822,-349.0875739,0.202332065,-1.31E-05,0.001025003,0.003820119
0.53,0.000192099,-84.56456799,-349.0875718,0.202332065,-1.39E-05,0.00106393,0.003892659
