time,arclength,x,y,yaw,kappa,speed,accel
0,2.39E-09,-54.58256918,-349.4355893,0.011196418,-1.24E-11,4.77E-07,4.77E-05
0.01,1.32E-08,-54.58256916,-349.4355893,0.011196418,-6.85E-11,1.68E-06,0.000120273
0.02,3.96E-08,-54.58256914,-349.4355893,0.011196418,-2.06E-10,3.61E-06,0.000192824
0.03,8.90E-08,-54.58256909,-349.4355893,0.011196418,-4.62E-10,6.26E-06,0.000265375
0.04,1.68E-07,-54.58256901,-349.4355893,0.011196418,-8.76E-10,9.64E-06,0.000337926
0.05,2.85E-07,-54.58256889,-349.4355893,0.011196418,-1.48E-09,1.37E-05,0.000410477
0.06,4.47E-07,-54.58256873,-349.4355893,0.011196418,-2.32E-09,1.86E-05,0.000483028
0.07,6.61E-07,-54.58256852,-349.4355893,0.011196418,-3.43E-09,2.41E-05,0.000555578
0.08,9.33E-07,-54.58256824,-349.4355893,0.011196418,-4.85E-09,3.04E-05,0.000628129
0.09,1.27E-06,-54.58256791,-349.4355893,0.011196418,-6.61E-09,3.74E-05,0.000700678
0.1,1.69E-06,-54.58256749,-349.4355893,0.011196418,-8.76E-09,4.52E-05,0.000773228
0.11,2.18E-06,-54.582567,-349.4355893,0.011196418,-1.13E-08,5.36E-05,0.000845778
0.12,2.76E-06,-54.58256642,-349.4355893,0.011196418,-1.43E-08,6.28E-05,0.000918327
0.13,3.44E-06,-54.58256574,-349.4355893,0.011196418,-1.79E-08,7.27E-05,0.000990876
0.14,4.22E-06,-54.58256496,-349.4355893,0.011196418,-2.19E-08,8.33E-05,0.001063425
0.15,5.11E-06,-54.58256407,-349.4355893,0.011196418,-2.66E-08,9.47E-05,0.001135974
0.16,6.12E-06,-54.58256306,-349.4355893,0.011196418,-3.18E-08,0.000106781,0.001208522
0.17,7.25E-06,-54.58256193,-349.4355892,0.011196418,-3.77E-08,0.000119592,0.00128107
0.18,8.51E-06,-54.58256067,-349.4355892,0.011196418,-4.42E-08,0.000133128,0.001353618
0.19,9.91E-06,-54.58255926,-349.4355892,0.011196418,-5.15E-08,0.00014739,0.001426166
0.2,1.15E-05,-54.58255772,-349.4355892,0.011196418,-5.96E-08,0.000162377,0.001498714
0.21,1.32E-05,-54.58255601,-349.4355892,0.011196418,-6.84E-08,0.00017809,0.001571261
0.22,1.50E-05,-54.58255415,-349.4355892,0.011196418,-7.81E-08,0.000194528,0.001643808
0.23,1.71E-05,-54.58255212,-349.4355891,0.011196418,-8.87E-08,0.000211691,0.001716355
0.24,1.93E-05,-54.58254991,-349.4355891,0.011196418,-1.00E-07,0.00022958,0.001788902
0.25,2.17E-05,-54.58254752,-349.4355891,0.011196418,-1.13E-07,0.000248195,0.001861448
