time,arclength,x,y,yaw,kappa,speed,accel
0,2.39E-09,-69.88099414,-346.6833959,0.124780181,-1.30E-10,4.77E-07,4.77E-05
0.01,1.32E-08,-69.88099413,-346.6833959,0.124780181,-7.20E-10,1.68E-06,0.000120273
0.02,3.96E-08,-69.8809941,-346.6833959,0.124780181,-2.17E-09,3.61E-06,0.000192824
0.03,8.90E-08,-69.88099406,-346.6833959,0.124780181,-4.86E-09,6.26E-06,0.000265375
0.04,1.68E-07,-69.88099398,-346.6833959,0.124780181,-9.21E-09,9.64E-06,0.000337926
0.05,2.85E-07,-69.88099386,-346.6833959,0.124780181,-1.56E-08,1.37E-05,0.000410477
0.06,4.47E-07,-69.8809937,-346.6833959,0.124780181,-2.44E-08,1.86E-05,0.000483028
0.07,6.61E-07,-69.88099349,-346.6833958,0.124780181,-3.61E-08,2.41E-05,0.000555578
0.08,9.33E-07,-69.88099322,-346.6833958,0.124780181,-5.10E-08,3.04E-05,0.000628129
0.09,1.27E-06,-69.88099288,-346.6833958,0.124780181,-6.96E-08,3.74E-05,0.000700678
0.1,1.69E-06,-69.88099247,-346.6833957,0.124780181,-9.22E-08,4.52E-05,0.000773228
0.11,2.18E-06,-69.88099198,-346.6833957,0.124780181,-1.19E-07,5.36E-05,0.000845778
0.12,2.76E-06,-69.8809914,-346.6833956,0.124780181,-1.51E-07,6.28E-05,0.000918327
0.13,3.44E-06,-69.88099073,-346.6833955,0.124780181,-1.88E-07,7.27E-05,0.000990876
0.14,4.22E-06,-69.88098996,-346.6833954,0.124780181,-2.31E-07,8.33E-05,0.001063425
0.15,5.11E-06,-69.88098907,-346.6833953,0.124780181,-2.79E-07,9.47E-05,0.001135974
0.16,6.12E-06,-69.88098807,-346.6833952,0.124780181,-3.34E-07,0.000106781,0.001208522
0.17,7.25E-06,-69.88098695,-346.683395,0.124780181,-3.96E-07,0.000119592,0.00128107
0.18,8.51E-06,-69.8809857,-346.6833949,0.124780181,-4.65E-07,0.000133128,0.001353618
0.19,9.91E-06,-69.88098431,-346.6833947,0.124780181,-5.42E-07,0.00014739,0.001426166
0.2,1.15E-05,-69.88098277,-346.6833945,0.124780181,-6.27E-07,0.000162377,0.001498714
0.21,1.32E-05,-69.88098108,-346.6833943,0.124780181,-7.20E-07,0.00017809,0.001571261
0.22,1.50E-05,-69.88097923,-346.6833941,0.124780181,-8.22E-07,0.000194528,0.001643808
0.23,1.71E-05,-69.88097722,-346.6833938,0.124780181,-9.33E-07,0.000211691,0.001716355
0.24,1.93E-05,-69.88097503,-346.6833935,0.124780181,-1.05E-06,0.00022958,0.001788902
0.25,2.17E-05,-69.88097266,-346.6833932,0.124780181,-1.18E-06,0.000248195,0.001861448
0.26,2.42E-05,-69.8809701,-346.6833929,0.124780181,-1.33E-06,0.000267535,0.001933994
0.27,2.70E-05,-69.88096734,-346.6833926,0.124780181,-1.48E-06,0.0002876,0.00200654
