time,arclength,x,y,yaw,kappa,speed,accel
0,2.39E-09,-84.72094901,-348.0057346,0.025796949,-1.71E-11,4.77E-07,4.77E-05
0.01,1.32E-08,-84.720949,-348.0057346,0.025796949,-9.43E-11,1.68E-06,0.000120273
0.02,3.96E-08,-84.72094897,-348.0057346,0.025796949,-2.84E-10,3.61E-06,0.000192824
0.03,8.90E-08,-84.72094893,-348.0057346,0.025796949,-6.37E-10,6.26E-06,0.000265375
0.04,1.68E-07,-84.72094885,-348.0057345,0.025796949,-1.21E-09,9.64E-06,0.000337926
0.05,2.85E-07,-84.72094873,-348.0057345,0.025796949,-2.04E-09,1.37E-05,0.000410477
0.06,4.47E-07,-84.72094857,-348.0057345,0.025796949,-3.20E-09,1.86E-05,0.000483028
0.07,6.61E-07,-84.72094835,-348.0057345,0.025796949,-4.73E-09,2.41E-05,0.000555578
0.08,9.33E-07,-84.72094808,-348.0057345,0.025796949,-6.68E-09,3.04E-05,0.000628129
0.09,1.27E-06,-84.72094774,-348.0057345,0.025796949,-9.11E-09,3.74E-05,0.000700678
0.1,1.69E-06,-84.72094733,-348.0057345,0.025796949,-1.21E-08,4.52E-05,0.000773228
0.11,2.18E-06,-84.72094684,-348.0057345,0.025796949,-1.56E-08,5.36E-05,0.000845778
0.12,2.76E-06,-84.72094625,-348.0057345,0.025796949,-1.98E-08,6.28E-05,0.000918327
0.13,3.44E-06,-84.72094558,-348.0057345,0.025796949,-2.46E-08,7.27E-05,0.000990876
0.14,4.22E-06,-84.7209448,-348.0057344,0.025796949,-3.02E-08,8.33E-05,0.001063425
0.15,5.11E-06,-84.72094391,-348.0057344,0.025796949,-3.66E-08,9.47E-05,0.001135974
0.16,6.12E-06,-84.7209429,-348.0057344,0.025796949,-4.38E-08,0.000106781,0.001208522
0.17,7.25E-06,-84.72094177,-348.0057344,0.025796949,-5.19E-08,0.000119592,0.00128107
0.18,8.51E-06,-84.72094051,-348.0057343,0.025796949,-6.10E-08,0.000133128,0.001353618
0.19,9.91E-06,-84.7209391,-348.0057343,0.025796949,-7.10E-08,0.00014739,0.001426166
0.2,1.15E-05,-84.72093755,-348.0057343,0.025796949,-8.21E-08,0.000162377,0.001498714
0.21,1.32E-05,-84.72093585,-348.0057342,0.025796949,-9.43E-08,0.00017809,0.001571261
0.22,1.50E-05,-84.72093399,-348.0057342,0.025796949,-1.08E-07,0.000194528,0.001643808
0.23,1.71E-05,-84.72093196,-348.0057341,0.025796949,-1.22E-07,0.000211691,0.001716355
0.24,1.93E-05,-84.72092975,-348.0057341,0.025796949,-1.38E-07,0.00022958,0.001788902
0.25,2.17E-05,-84.72092737,-348.005734,0.025796949,-1.55E-07,0.000248195,0.001861448
0.26,2.42E-05,-84.72092479,-348.0057339,0.025796949,-1.74E-07,0.000267535,0.001933994
0.27,2.70E-05,-84.72092201,-348.0057339,0.025796949,-1.93E-07,0.0002876,0.00200654
0.28,3.00E-05,-84.72091904,-348.0057338,0.025796949,-2.15E-07,0.000308391,0.002079086
0.29,3.32E-05,-84.72091584,-348.0057337,0.025796949,-2.38E-07,0.000329907,0.002151632
0.3,3.66E-05,-84.72091244,-348.0057336,0.025796949,-2.62E-07,0.000352149,0.002224177
0.31,4.02E-05,-84.7209088,-348.0057335,0.025796949,-2.88E-07,0.000375116,0.002296722
0.32,4.41E-05,-84.72090493,-348.0057334,0.025796949,-3.16E-07,0.000398809,0.002369267
0.33,4.82E-05,-84.72090082,-348.0057333,0.025796949,-3.45E-07,0.000423227,0.002441812
0.34,5.26E-05,-84.72089647,-348.0057332,0.025796949,-3.76E-07,0.000448371,0.002514356
0.35,5.72E-05,-84.72089186,-348.0057331,0.025796949,-4.09E-07,0.00047424,0.0025869
0.36,6.21E-05,-84.72088698,-348.005733,0.025796949,-4.44E-07,0.000500834,0.002659444
0.37,6.72E-05,-84.72088184,-348.0057328,0.025796949,-4.81E-07,0.000528154,0.002731988
0.38,7.26E-05,-84.72087642,-348.0057327,0.025796949,-5.20E-07,0.000556199,0.002804532
0.39,7.83E-05,-84.72087071,-348.0057325,0.025796949,-5.61E-07,0.00058497,0.002877075
0.4,8.43E-05,-84.72086472,-348.0057324,0.025796949,-6.04E-07,0.000614466,0.002949618
0.41,9.06E-05,-84.72085843,-348.0057322,0.025796949,-6.49E-07,0.000644688,0.003022161
0.42,9.72E-05,-84.72085183,-348.005732,0.025796949,-6.96E-07,0.000675635,0.003094704
0.43,0.000104135,-84.72084491,-348.0057319,0.025796949,-7.46E-07,0.000707307,0.003167246
0.44,0.000111371,-84.72083768,-348.0057317,0.025796949,-7.97E-07,0.000739705,0.003239789
0.45,0.000118933,-84.72083012,-348.0057315,0.025796949,-8.52E-07,0.000772829,0.003312331
0.46,0.000126831,-84.72082223,-348.0057313,0.025796949,-9.08E-07,0.000806677,0.003384873
0.47,0.00013507,-84.72081399,-348.0057311,0.025796949,-9.67E-07,0.000841251,0.003457414
0.48,0.000143659,-84.7208054,-348.0057308,0.025796949,-1.03E-06,0.000876551,0.003529955
0.49,0.000152605,-84.72079646,-348.0057306,0.025796949,-1.09E-06,0.000912576,0.003602497
0.5,0.000161915,-84.72078715,-348.0057304,0.025796949,-1.16E-06,0.000949326,0.003675038
